"Top 3 values of operator_technology","dtime per 30 days",Percentage
Cable,"2010-12-27",null
Cable,"2011-01-26","42.97%"
Cable,"2011-02-25","49.40%"
Cable,"2011-03-27","51.07%"
Cable,"2011-04-26","50.95%"
Cable,"2011-05-26","48.55%"
Cable,"2011-06-25","49.52%"
Cable,"2011-07-25","51.64%"
Cable,"2011-08-24","49.51%"
Cable,"2011-09-23","41.14%"
Cable,"2011-10-23","40.62%"
Cable,"2011-11-22","40.48%"
Cable,"2011-12-22","37.10%"
Cable,"2012-01-21","34.53%"
Cable,"2012-02-20","35.53%"
Cable,"2012-03-21","39.23%"
Cable,"2012-04-20","41.03%"
Cable,"2012-05-20","40.91%"
Cable,"2012-06-19","39.50%"
Cable,"2012-07-19","40.63%"
Cable,"2012-08-18","39.50%"
Cable,"2012-09-17","39.51%"
Cable,"2012-10-17","40.42%"
Cable,"2012-11-16","39.11%"
Cable,"2012-12-16","37.26%"
Cable,"2013-01-15","37.54%"
Cable,"2013-02-14","37.76%"
Cable,"2013-03-16","41.44%"
Cable,"2013-04-15","46.38%"
Cable,"2013-05-15","48.02%"
Cable,"2013-06-14","48.46%"
Cable,"2013-07-14","49.27%"
Cable,"2013-08-13","49.86%"
Cable,"2013-09-12","50.76%"
Cable,"2013-10-12","51.35%"
Cable,"2013-11-11","51.60%"
Cable,"2013-12-11","51.24%"
Cable,"2014-01-10","50.11%"
Cable,"2014-02-09","49.79%"
Cable,"2014-03-11","50.01%"
Cable,"2014-04-10","49.43%"
Cable,"2014-05-10","48.08%"
Cable,"2014-06-09","45.98%"
Cable,"2014-07-09","46.86%"
Cable,"2014-08-08","47.59%"
Cable,"2014-09-07","45.78%"
Cable,"2014-10-07","44.63%"
Cable,"2014-11-06","43.52%"
Cable,"2014-12-06","43.38%"
Cable,"2015-01-05","43.10%"
Cable,"2015-02-04","43.39%"
Cable,"2015-03-06","44.81%"
Cable,"2015-04-05","45.60%"
Cable,"2015-05-05","45.54%"
Cable,"2015-06-04","45.49%"
Cable,"2015-07-04","45.71%"
Cable,"2015-08-03","45.68%"
Cable,"2015-09-02","46.98%"
Cable,"2015-10-02","47.45%"
Cable,"2015-11-01","46.86%"
Cable,"2015-12-01","46.46%"
Cable,"2015-12-31","46.24%"
Cable,"2016-01-30","46.98%"
Cable,"2016-02-29","47.47%"
Cable,"2016-03-30","47.58%"
Cable,"2016-04-29","47.52%"
Cable,"2016-05-29","47.53%"
Cable,"2016-06-28","47.36%"
Cable,"2016-07-28","44.92%"
Cable,"2016-08-27","40.97%"
Cable,"2016-09-26","41.53%"
Cable,"2016-10-26","42.16%"
Cable,"2016-11-25","42.84%"
Cable,"2016-12-25","43.97%"
Cable,"2017-01-24","43.44%"
Cable,"2017-02-23","42.84%"
Cable,"2017-03-25","43.18%"
Cable,"2017-04-24","42.81%"
Cable,"2017-05-24","43.25%"
Cable,"2017-06-23","42.65%"
Cable,"2017-07-23","43.99%"
Cable,"2017-08-22","44.65%"
Cable,"2017-09-21","45.64%"
Cable,"2017-10-21","45.95%"
Cable,"2017-11-20","46.17%"
Cable,"2017-12-20","46.86%"
Cable,"2018-01-19","48.09%"
Cable,"2018-02-18","48.16%"
Cable,"2018-03-20","48.83%"
Cable,"2018-04-19","47.93%"
Cable,"2018-05-19","47.54%"
Cable,"2018-06-18","48.52%"
Cable,"2018-07-18","49.29%"
Cable,"2018-08-17","52.80%"
Cable,"2018-09-16","53.56%"
Cable,"2018-10-16","53.63%"
Cable,"2018-11-15","54.31%"
Cable,"2018-12-15","54.24%"
Cable,"2019-01-14","53.50%"
Cable,"2019-02-13","52.33%"
Cable,"2019-03-15","53.02%"
Cable,"2019-04-14","52.82%"
Cable,"2019-05-14","56.81%"
Cable,"2019-06-13","53.65%"
Cable,"2019-07-13","53.36%"
Cable,"2019-08-12","51.90%"
Cable,"2019-09-11","53.13%"
Cable,"2019-10-11","53.90%"
Cable,"2019-11-10","55.48%"
Cable,"2019-12-10","55.59%"
Cable,"2020-01-09","55.48%"
Cable,"2020-02-08","55.50%"
Cable,"2020-03-09","54.59%"
Cable,"2020-04-08","53.47%"
Cable,"2020-05-08","54.35%"
Cable,"2020-06-07","54.42%"
Cable,"2020-07-07","53.29%"
Cable,"2020-08-06","51.39%"
Cable,"2020-09-05",null
Cable,"2020-10-05","54.73%"
Cable,"2020-11-04","53.95%"
Cable,"2020-12-04","53.53%"
Cable,"2021-01-03","54.54%"
Cable,"2021-02-02","55.45%"
Cable,"2021-03-04","56.01%"
Cable,"2021-04-03","55.85%"
Cable,"2021-05-03","56.59%"
Cable,"2021-06-02","55.96%"
Cable,"2021-07-02","55.37%"
Cable,"2021-08-01","57.03%"
Cable,"2021-08-31","55.47%"
Cable,"2021-09-30","55.77%"
Cable,"2021-10-30","54.92%"
Cable,"2021-11-29","54.07%"
Cable,"2021-12-29","53.93%"
Cable,"2022-01-28","53.04%"
Cable,"2022-02-27","53.86%"
Cable,"2022-03-29","54.68%"
Cable,"2022-04-28","54.85%"
Cable,"2022-05-28","55.00%"
Cable,"2022-06-27","55.91%"
Cable,"2022-07-27","56.05%"
Cable,"2022-08-26","56.36%"
Cable,"2022-09-25",null
Cable,"2022-10-25","57.43%"
Cable,"2022-11-24","58.00%"
Cable,"2022-12-24","59.07%"
Cable,"2023-01-23","59.58%"
Cable,"2023-02-22","60.23%"
Cable,"2023-03-24","60.49%"
Cable,"2023-04-23","60.89%"
Cable,"2023-05-23","59.74%"
Cable,"2023-06-22","60.70%"
Cable,"2023-07-22","62.33%"
DSL,"2010-12-27",null
DSL,"2011-01-26","24.44%"
DSL,"2011-02-25","26.08%"
DSL,"2011-03-27","25.82%"
DSL,"2011-04-26","23.88%"
DSL,"2011-05-26","20.94%"
DSL,"2011-06-25","21.16%"
DSL,"2011-07-25","22.18%"
DSL,"2011-08-24","25.00%"
DSL,"2011-09-23","20.35%"
DSL,"2011-10-23","20.08%"
DSL,"2011-11-22","19.70%"
DSL,"2011-12-22","18.20%"
DSL,"2012-01-21","20.25%"
DSL,"2012-02-20","20.88%"
DSL,"2012-03-21","22.74%"
DSL,"2012-04-20","22.90%"
DSL,"2012-05-20","22.28%"
DSL,"2012-06-19","22.93%"
DSL,"2012-07-19","22.51%"
DSL,"2012-08-18","22.72%"
DSL,"2012-09-17","22.83%"
DSL,"2012-10-17","22.68%"
DSL,"2012-11-16","22.65%"
DSL,"2012-12-16","21.79%"
DSL,"2013-01-15","23.12%"
DSL,"2013-02-14","23.12%"
DSL,"2013-03-16","23.73%"
DSL,"2013-04-15","23.97%"
DSL,"2013-05-15","24.07%"
DSL,"2013-06-14","25.03%"
DSL,"2013-07-14","24.97%"
DSL,"2013-08-13","26.15%"
DSL,"2013-09-12","28.04%"
DSL,"2013-10-12","28.27%"
DSL,"2013-11-11","29.31%"
DSL,"2013-12-11","32.22%"
DSL,"2014-01-10","31.76%"
DSL,"2014-02-09","34.08%"
DSL,"2014-03-11","36.26%"
DSL,"2014-04-10","36.39%"
DSL,"2014-05-10","36.83%"
DSL,"2014-06-09","35.52%"
DSL,"2014-07-09","37.59%"
DSL,"2014-08-08","39.45%"
DSL,"2014-09-07","41.13%"
DSL,"2014-10-07","41.45%"
DSL,"2014-11-06","42.50%"
DSL,"2014-12-06","41.64%"
DSL,"2015-01-05","29.59%"
DSL,"2015-02-04","28.41%"
DSL,"2015-03-06","29.75%"
DSL,"2015-04-05","29.00%"
DSL,"2015-05-05","28.69%"
DSL,"2015-06-04","29.38%"
DSL,"2015-07-04","30.19%"
DSL,"2015-08-03","30.73%"
DSL,"2015-09-02","31.40%"
DSL,"2015-10-02","31.57%"
DSL,"2015-11-01","30.57%"
DSL,"2015-12-01","30.95%"
DSL,"2015-12-31","46.02%"
DSL,"2016-01-30","46.81%"
DSL,"2016-02-29","47.51%"
DSL,"2016-03-30","48.09%"
DSL,"2016-04-29","48.01%"
DSL,"2016-05-29","48.65%"
DSL,"2016-06-28","46.38%"
DSL,"2016-07-28","45.39%"
DSL,"2016-08-27","45.36%"
DSL,"2016-09-26","45.37%"
DSL,"2016-10-26","46.21%"
DSL,"2016-11-25","45.69%"
DSL,"2016-12-25","39.40%"
DSL,"2017-01-24","35.58%"
DSL,"2017-02-23","35.85%"
DSL,"2017-03-25","34.31%"
DSL,"2017-04-24","34.63%"
DSL,"2017-05-24","35.34%"
DSL,"2017-06-23","35.07%"
DSL,"2017-07-23","33.12%"
DSL,"2017-08-22","32.83%"
DSL,"2017-09-21","33.72%"
DSL,"2017-10-21","34.25%"
DSL,"2017-11-20","35.21%"
DSL,"2017-12-20","37.13%"
DSL,"2018-01-19","37.24%"
DSL,"2018-02-18","37.32%"
DSL,"2018-03-20","37.70%"
DSL,"2018-04-19","38.66%"
DSL,"2018-05-19","38.54%"
DSL,"2018-06-18","39.80%"
DSL,"2018-07-18","42.58%"
DSL,"2018-08-17","43.04%"
DSL,"2018-09-16","45.07%"
DSL,"2018-10-16","46.05%"
DSL,"2018-11-15","46.26%"
DSL,"2018-12-15","45.84%"
DSL,"2019-01-14","45.33%"
DSL,"2019-02-13","45.40%"
DSL,"2019-03-15","46.19%"
DSL,"2019-04-14","47.14%"
DSL,"2019-05-14","45.44%"
DSL,"2019-06-13","47.00%"
DSL,"2019-07-13","45.95%"
DSL,"2019-08-12","46.80%"
DSL,"2019-09-11","46.50%"
DSL,"2019-10-11","47.38%"
DSL,"2019-11-10","46.63%"
DSL,"2019-12-10","46.23%"
DSL,"2020-01-09","46.77%"
DSL,"2020-02-08","47.02%"
DSL,"2020-03-09","45.16%"
DSL,"2020-04-08","46.09%"
DSL,"2020-05-08","47.36%"
DSL,"2020-06-07","47.55%"
DSL,"2020-07-07","47.03%"
DSL,"2020-08-06","54.17%"
DSL,"2020-09-05",null
DSL,"2020-10-05","57.74%"
DSL,"2020-11-04","57.25%"
DSL,"2020-12-04","57.50%"
DSL,"2021-01-03","58.46%"
DSL,"2021-02-02","57.75%"
DSL,"2021-03-04","58.89%"
DSL,"2021-04-03","58.46%"
DSL,"2021-05-03","57.25%"
DSL,"2021-06-02","57.98%"
DSL,"2021-07-02","58.42%"
DSL,"2021-08-01","58.32%"
DSL,"2021-08-31","57.79%"
DSL,"2021-09-30","57.41%"
DSL,"2021-10-30","57.30%"
DSL,"2021-11-29","56.35%"
DSL,"2021-12-29","56.17%"
DSL,"2022-01-28","55.98%"
DSL,"2022-02-27","56.18%"
DSL,"2022-03-29","56.23%"
DSL,"2022-04-28","56.94%"
DSL,"2022-05-28","56.03%"
DSL,"2022-06-27","56.56%"
DSL,"2022-07-27","55.84%"
DSL,"2022-08-26","55.93%"
DSL,"2022-09-25",null
DSL,"2022-10-25","60.29%"
DSL,"2022-11-24","60.79%"
DSL,"2022-12-24","58.84%"
DSL,"2023-01-23","58.39%"
DSL,"2023-02-22","58.58%"
DSL,"2023-03-24","59.58%"
DSL,"2023-04-23","59.67%"
DSL,"2023-05-23","58.78%"
DSL,"2023-06-22","59.46%"
DSL,"2023-07-22","60.12%"
Fiber,"2010-12-27",null
Fiber,"2011-01-26","20.06%"
Fiber,"2011-02-25","28.58%"
Fiber,"2011-03-27","32.76%"
Fiber,"2011-04-26","30.10%"
Fiber,"2011-05-26","27.71%"
Fiber,"2011-06-25","29.28%"
Fiber,"2011-07-25","34.77%"
Fiber,"2011-08-24","21.51%"
Fiber,"2011-09-23","4.30%"
Fiber,"2011-10-23","5.02%"
Fiber,"2011-11-22","5.69%"
Fiber,"2011-12-22","5.54%"
Fiber,"2012-01-21","4.56%"
Fiber,"2012-02-20","3.87%"
Fiber,"2012-03-21","6.26%"
Fiber,"2012-04-20","7.03%"
Fiber,"2012-05-20","6.69%"
Fiber,"2012-06-19","7.69%"
Fiber,"2012-07-19","8.67%"
Fiber,"2012-08-18","10.34%"
Fiber,"2012-09-17","11.84%"
Fiber,"2012-10-17","12.02%"
Fiber,"2012-11-16","11.18%"
Fiber,"2012-12-16","12.21%"
Fiber,"2013-01-15","13.49%"
Fiber,"2013-02-14","14.14%"
Fiber,"2013-03-16","14.62%"
Fiber,"2013-04-15","14.64%"
Fiber,"2013-05-15","17.04%"
Fiber,"2013-06-14","17.12%"
Fiber,"2013-07-14","15.62%"
Fiber,"2013-08-13","14.80%"
Fiber,"2013-09-12","12.96%"
Fiber,"2013-10-12","13.58%"
Fiber,"2013-11-11","14.82%"
Fiber,"2013-12-11","15.53%"
Fiber,"2014-01-10","13.34%"
Fiber,"2014-02-09","14.59%"
Fiber,"2014-03-11","15.71%"
Fiber,"2014-04-10","17.10%"
Fiber,"2014-05-10","17.55%"
Fiber,"2014-06-09","15.73%"
Fiber,"2014-07-09","17.32%"
Fiber,"2014-08-08","20.25%"
Fiber,"2014-09-07","21.19%"
Fiber,"2014-10-07","23.80%"
Fiber,"2014-11-06","24.02%"
Fiber,"2014-12-06","25.82%"
Fiber,"2015-01-05","26.77%"
Fiber,"2015-02-04","27.30%"
Fiber,"2015-03-06","29.98%"
Fiber,"2015-04-05","30.97%"
Fiber,"2015-05-05","33.35%"
Fiber,"2015-06-04","35.25%"
Fiber,"2015-07-04","37.06%"
Fiber,"2015-08-03","38.72%"
Fiber,"2015-09-02","43.53%"
Fiber,"2015-10-02","43.33%"
Fiber,"2015-11-01","43.24%"
Fiber,"2015-12-01","45.79%"
Fiber,"2015-12-31","47.91%"
Fiber,"2016-01-30","49.93%"
Fiber,"2016-02-29","51.55%"
Fiber,"2016-03-30","52.31%"
Fiber,"2016-04-29","53.10%"
Fiber,"2016-05-29","54.66%"
Fiber,"2016-06-28","58.40%"
Fiber,"2016-07-28","60.04%"
Fiber,"2016-08-27","59.83%"
Fiber,"2016-09-26","61.35%"
Fiber,"2016-10-26","63.30%"
Fiber,"2016-11-25","63.95%"
Fiber,"2016-12-25","63.19%"
Fiber,"2017-01-24","64.28%"
Fiber,"2017-02-23","65.29%"
Fiber,"2017-03-25","66.43%"
Fiber,"2017-04-24","67.44%"
Fiber,"2017-05-24","69.73%"
Fiber,"2017-06-23","69.54%"
Fiber,"2017-07-23","66.62%"
Fiber,"2017-08-22","67.66%"
Fiber,"2017-09-21","66.74%"
Fiber,"2017-10-21","66.53%"
Fiber,"2017-11-20","66.11%"
Fiber,"2017-12-20","65.27%"
Fiber,"2018-01-19","65.55%"
Fiber,"2018-02-18","65.38%"
Fiber,"2018-03-20","67.09%"
Fiber,"2018-04-19","65.89%"
Fiber,"2018-05-19","67.30%"
Fiber,"2018-06-18","68.17%"
Fiber,"2018-07-18","68.75%"
Fiber,"2018-08-17","69.18%"
Fiber,"2018-09-16","70.25%"
Fiber,"2018-10-16","71.66%"
Fiber,"2018-11-15","72.41%"
Fiber,"2018-12-15","70.81%"
Fiber,"2019-01-14","70.15%"
Fiber,"2019-02-13","69.71%"
Fiber,"2019-03-15","71.77%"
Fiber,"2019-04-14","71.40%"
Fiber,"2019-05-14","73.55%"
Fiber,"2019-06-13","72.94%"
Fiber,"2019-07-13","74.67%"
Fiber,"2019-08-12","77.20%"
Fiber,"2019-09-11","76.90%"
Fiber,"2019-10-11","77.31%"
Fiber,"2019-11-10","75.49%"
Fiber,"2019-12-10","73.54%"
Fiber,"2020-01-09","73.72%"
Fiber,"2020-02-08","74.24%"
Fiber,"2020-03-09","73.43%"
Fiber,"2020-04-08","73.42%"
Fiber,"2020-05-08","73.79%"
Fiber,"2020-06-07","74.80%"
Fiber,"2020-07-07","74.97%"
Fiber,"2020-08-06","81.40%"
Fiber,"2020-09-05",null
Fiber,"2020-10-05","82.32%"
Fiber,"2020-11-04","79.92%"
Fiber,"2020-12-04","79.02%"
Fiber,"2021-01-03","80.24%"
Fiber,"2021-02-02","80.47%"
Fiber,"2021-03-04","81.14%"
Fiber,"2021-04-03","80.80%"
Fiber,"2021-05-03","81.06%"
Fiber,"2021-06-02","80.92%"
Fiber,"2021-07-02","82.43%"
Fiber,"2021-08-01","83.27%"
Fiber,"2021-08-31","82.74%"
Fiber,"2021-09-30","81.95%"
Fiber,"2021-10-30","82.12%"
Fiber,"2021-11-29","82.51%"
Fiber,"2021-12-29","82.23%"
Fiber,"2022-01-28","82.31%"
Fiber,"2022-02-27","81.66%"
Fiber,"2022-03-29","81.39%"
Fiber,"2022-04-28","81.61%"
Fiber,"2022-05-28","82.24%"
Fiber,"2022-06-27","82.64%"
Fiber,"2022-07-27","82.85%"
Fiber,"2022-08-26","82.62%"
Fiber,"2022-09-25",null
Fiber,"2022-10-25","83.74%"
Fiber,"2022-11-24","84.22%"
Fiber,"2022-12-24","84.25%"
Fiber,"2023-01-23","83.04%"
Fiber,"2023-02-22","83.60%"
Fiber,"2023-03-24","85.33%"
Fiber,"2023-04-23","86.07%"
Fiber,"2023-05-23","83.09%"
Fiber,"2023-06-22","83.13%"
Fiber,"2023-07-22","84.60%"
