"Top 3 values of operator_technology","dtime per 30 days",Percentage
Cable,"2021-11-29","95.46%"
Cable,"2021-12-29","95.45%"
Cable,"2022-01-28","95.64%"
Cable,"2022-02-27","95.60%"
Cable,"2022-03-29","95.90%"
Cable,"2022-04-28","96.10%"
Cable,"2022-05-28","95.96%"
Cable,"2022-06-27","96.06%"
Cable,"2022-07-27","96.14%"
Cable,"2022-08-26","96.01%"
Cable,"2022-09-25",null
Cable,"2022-10-25","95.98%"
Cable,"2022-11-24","96.15%"
Cable,"2022-12-24","96.24%"
Cable,"2023-01-23","96.51%"
Cable,"2023-02-22","96.64%"
Cable,"2023-03-24","97.27%"
Cable,"2023-04-23","97.11%"
Cable,"2023-05-23","96.59%"
Cable,"2023-06-22","97.06%"
Cable,"2023-07-22","97.23%"
DSL,"2010-12-27",null
DSL,"2011-01-26","90.94%"
DSL,"2011-02-25","89.88%"
DSL,"2011-03-27","90.11%"
DSL,"2011-04-26","90.77%"
DSL,"2011-05-26","90.80%"
DSL,"2011-06-25","90.86%"
DSL,"2011-07-25","90.65%"
DSL,"2011-08-24","91.05%"
DSL,"2011-09-23","90.61%"
DSL,"2011-10-23","90.30%"
DSL,"2011-11-22","88.41%"
DSL,"2011-12-22","82.36%"
DSL,"2012-01-21","83.66%"
DSL,"2012-02-20","80.41%"
DSL,"2012-03-21","87.73%"
DSL,"2012-04-20","89.14%"
DSL,"2012-05-20","88.74%"
DSL,"2012-06-19","89.07%"
DSL,"2012-07-19","88.82%"
DSL,"2012-08-18","88.98%"
DSL,"2012-09-17","87.36%"
DSL,"2012-10-17","87.62%"
DSL,"2012-11-16","87.60%"
DSL,"2012-12-16","86.14%"
DSL,"2013-01-15","86.32%"
DSL,"2013-02-14","86.06%"
DSL,"2013-03-16","87.10%"
DSL,"2013-04-15","87.99%"
DSL,"2013-05-15","87.14%"
DSL,"2013-06-14","87.44%"
DSL,"2013-07-14","86.42%"
DSL,"2013-08-13","86.63%"
DSL,"2013-09-12","88.76%"
DSL,"2013-10-12","89.11%"
DSL,"2013-11-11","88.08%"
DSL,"2013-12-11","86.44%"
DSL,"2014-01-10","85.93%"
DSL,"2014-02-09","86.88%"
DSL,"2014-03-11","88.50%"
DSL,"2014-04-10","89.21%"
DSL,"2014-05-10","89.00%"
DSL,"2014-06-09","87.71%"
DSL,"2014-07-09","88.69%"
DSL,"2014-08-08","88.76%"
DSL,"2014-09-07","89.71%"
DSL,"2014-10-07","90.36%"
DSL,"2014-11-06","90.37%"
DSL,"2014-12-06","90.00%"
DSL,"2015-01-05","88.33%"
DSL,"2015-02-04","87.56%"
DSL,"2015-03-06","88.57%"
DSL,"2015-04-05","88.73%"
DSL,"2015-05-05","88.90%"
DSL,"2015-06-04","88.52%"
DSL,"2015-07-04","88.08%"
DSL,"2015-08-03","88.76%"
DSL,"2015-09-02","88.07%"
DSL,"2015-10-02","87.83%"
DSL,"2015-11-01","87.65%"
DSL,"2015-12-01","87.15%"
DSL,"2015-12-31","89.05%"
DSL,"2016-01-30","89.76%"
DSL,"2016-02-29","89.93%"
DSL,"2016-03-30","89.91%"
DSL,"2016-04-29","89.25%"
DSL,"2016-05-29","89.08%"
DSL,"2016-06-28","88.49%"
DSL,"2016-07-28","88.57%"
DSL,"2016-08-27","88.26%"
DSL,"2016-09-26","88.26%"
DSL,"2016-10-26","88.08%"
DSL,"2016-11-25","87.96%"
DSL,"2016-12-25","86.31%"
DSL,"2017-01-24","86.09%"
DSL,"2017-02-23","86.63%"
DSL,"2017-03-25","86.08%"
DSL,"2017-04-24","86.93%"
DSL,"2017-05-24","86.85%"
DSL,"2017-06-23","86.60%"
DSL,"2017-07-23","85.97%"
DSL,"2017-08-22","87.15%"
DSL,"2017-09-21","87.44%"
DSL,"2017-10-21","87.80%"
DSL,"2017-11-20","87.76%"
DSL,"2017-12-20","87.98%"
DSL,"2018-01-19","89.20%"
DSL,"2018-02-18","89.20%"
DSL,"2018-03-20","89.25%"
DSL,"2018-04-19","89.71%"
DSL,"2018-05-19","89.43%"
DSL,"2018-06-18","88.43%"
DSL,"2018-07-18","86.30%"
DSL,"2018-08-17","86.71%"
DSL,"2018-09-16","86.81%"
DSL,"2018-10-16","86.82%"
DSL,"2018-11-15","85.56%"
DSL,"2018-12-15","83.36%"
DSL,"2019-01-14","81.78%"
DSL,"2019-02-13","81.05%"
DSL,"2019-03-15","85.65%"
DSL,"2019-04-14","86.56%"
DSL,"2019-05-14","86.99%"
DSL,"2019-06-13","86.95%"
DSL,"2019-07-13","86.50%"
DSL,"2019-08-12","86.72%"
DSL,"2019-09-11","86.14%"
DSL,"2019-10-11","86.69%"
DSL,"2019-11-10","85.09%"
DSL,"2019-12-10","84.71%"
DSL,"2020-01-09","85.66%"
DSL,"2020-02-08","85.33%"
DSL,"2020-03-09","82.19%"
DSL,"2020-04-08","81.73%"
DSL,"2020-05-08","83.63%"
DSL,"2020-06-07","84.46%"
DSL,"2020-07-07","85.09%"
DSL,"2020-08-06","87.49%"
DSL,"2020-09-05",null
DSL,"2020-10-05","87.09%"
DSL,"2020-11-04","86.37%"
DSL,"2020-12-04","86.46%"
DSL,"2021-01-03","87.74%"
DSL,"2021-02-02","87.05%"
DSL,"2021-03-04","88.41%"
DSL,"2021-04-03","88.27%"
DSL,"2021-05-03","89.19%"
DSL,"2021-06-02","87.95%"
DSL,"2021-07-02","89.07%"
DSL,"2021-08-01","88.88%"
DSL,"2021-08-31","88.26%"
DSL,"2021-09-30","89.26%"
DSL,"2021-10-30","89.42%"
DSL,"2021-11-29","88.95%"
DSL,"2021-12-29","88.62%"
DSL,"2022-01-28","88.71%"
DSL,"2022-02-27","88.65%"
DSL,"2022-03-29","88.65%"
DSL,"2022-04-28","88.76%"
DSL,"2022-05-28","88.11%"
DSL,"2022-06-27","88.08%"
DSL,"2022-07-27","87.96%"
DSL,"2022-08-26","88.08%"
DSL,"2022-09-25",null
DSL,"2022-10-25","88.73%"
DSL,"2022-11-24","88.44%"
DSL,"2022-12-24","88.43%"
DSL,"2023-01-23","88.43%"
DSL,"2023-02-22","88.52%"
DSL,"2023-03-24","90.69%"
DSL,"2023-04-23","90.92%"
DSL,"2023-05-23","90.12%"
DSL,"2023-06-22","89.83%"
DSL,"2023-07-22","89.80%"
Fiber,"2010-12-27",null
Fiber,"2011-01-26","98.68%"
Fiber,"2011-02-25","98.69%"
Fiber,"2011-03-27","98.21%"
Fiber,"2011-04-26","98.70%"
Fiber,"2011-05-26","98.99%"
Fiber,"2011-06-25","99.03%"
Fiber,"2011-07-25","98.51%"
Fiber,"2011-08-24","98.79%"
Fiber,"2011-09-23","98.42%"
Fiber,"2011-10-23","98.88%"
Fiber,"2011-11-22","98.50%"
Fiber,"2011-12-22","95.37%"
Fiber,"2012-01-21","86.52%"
Fiber,"2012-02-20","74.92%"
Fiber,"2012-03-21","95.59%"
Fiber,"2012-04-20","97.55%"
Fiber,"2012-05-20","97.98%"
Fiber,"2012-06-19","98.19%"
Fiber,"2012-07-19","98.06%"
Fiber,"2012-08-18","97.96%"
Fiber,"2012-09-17","96.99%"
Fiber,"2012-10-17","98.39%"
Fiber,"2012-11-16","97.69%"
Fiber,"2012-12-16","98.19%"
Fiber,"2013-01-15","98.08%"
Fiber,"2013-02-14","98.33%"
Fiber,"2013-03-16","98.95%"
Fiber,"2013-04-15","98.84%"
Fiber,"2013-05-15","98.43%"
Fiber,"2013-06-14","98.52%"
Fiber,"2013-07-14","97.50%"
Fiber,"2013-08-13","97.56%"
Fiber,"2013-09-12","97.82%"
Fiber,"2013-10-12","98.01%"
Fiber,"2013-11-11","97.42%"
Fiber,"2013-12-11","96.10%"
Fiber,"2014-01-10","96.94%"
Fiber,"2014-02-09","95.92%"
Fiber,"2014-03-11","97.03%"
Fiber,"2014-04-10","95.79%"
Fiber,"2014-05-10","98.58%"
Fiber,"2014-06-09","98.50%"
Fiber,"2014-07-09","98.54%"
Fiber,"2014-08-08","98.61%"
Fiber,"2014-09-07","98.63%"
Fiber,"2014-10-07","98.44%"
Fiber,"2014-11-06","98.70%"
Fiber,"2014-12-06","98.85%"
Fiber,"2015-01-05","98.75%"
Fiber,"2015-02-04","98.29%"
Fiber,"2015-03-06","96.72%"
Fiber,"2015-04-05","97.23%"
Fiber,"2015-05-05","97.68%"
Fiber,"2015-06-04","98.77%"
Fiber,"2015-07-04","98.77%"
Fiber,"2015-08-03","98.53%"
Fiber,"2015-09-02","98.34%"
Fiber,"2015-10-02","98.39%"
Fiber,"2015-11-01","98.54%"
Fiber,"2015-12-01","98.30%"
Fiber,"2015-12-31","98.33%"
Fiber,"2016-01-30","98.65%"
Fiber,"2016-02-29","98.37%"
Fiber,"2016-03-30","98.49%"
Fiber,"2016-04-29","98.62%"
Fiber,"2016-05-29","98.97%"
Fiber,"2016-06-28","98.91%"
Fiber,"2016-07-28","99.14%"
Fiber,"2016-08-27","98.75%"
Fiber,"2016-09-26","99.04%"
Fiber,"2016-10-26","98.86%"
Fiber,"2016-11-25","98.97%"
Fiber,"2016-12-25","98.64%"
Fiber,"2017-01-24","98.51%"
Fiber,"2017-02-23","98.58%"
Fiber,"2017-03-25","98.35%"
Fiber,"2017-04-24","98.85%"
Fiber,"2017-05-24","98.78%"
Fiber,"2017-06-23","98.24%"
Fiber,"2017-07-23","98.22%"
Fiber,"2017-08-22","98.20%"
Fiber,"2017-09-21","97.87%"
Fiber,"2017-10-21","96.85%"
Fiber,"2017-11-20","97.08%"
Fiber,"2017-12-20","97.10%"
Fiber,"2018-01-19","98.98%"
Fiber,"2018-02-18","98.85%"
Fiber,"2018-03-20","99.08%"
Fiber,"2018-04-19","98.85%"
Fiber,"2018-05-19","99.13%"
Fiber,"2018-06-18","99.10%"
Fiber,"2018-07-18","98.93%"
Fiber,"2018-08-17","98.89%"
Fiber,"2018-09-16","99.08%"
Fiber,"2018-10-16","98.93%"
Fiber,"2018-11-15","98.65%"
Fiber,"2018-12-15","98.12%"
Fiber,"2019-01-14","97.38%"
Fiber,"2019-02-13","93.55%"
Fiber,"2019-03-15","96.49%"
Fiber,"2019-04-14","97.73%"
Fiber,"2019-05-14","97.73%"
Fiber,"2019-06-13","98.85%"
Fiber,"2019-07-13","99.18%"
Fiber,"2019-08-12","99.21%"
Fiber,"2019-09-11","99.05%"
Fiber,"2019-10-11","99.49%"
Fiber,"2019-11-10","99.35%"
Fiber,"2019-12-10","98.59%"
Fiber,"2020-01-09","97.07%"
Fiber,"2020-02-08","97.02%"
Fiber,"2020-03-09","96.56%"
Fiber,"2020-04-08","96.50%"
Fiber,"2020-05-08","96.76%"
Fiber,"2020-06-07","96.80%"
Fiber,"2020-07-07","96.50%"
Fiber,"2020-08-06","97.43%"
Fiber,"2020-09-05",null
Fiber,"2020-10-05","98.02%"
Fiber,"2020-11-04","98.01%"
Fiber,"2020-12-04","97.95%"
Fiber,"2021-01-03","97.50%"
Fiber,"2021-02-02","97.17%"
Fiber,"2021-03-04","97.77%"
Fiber,"2021-04-03","97.55%"
Fiber,"2021-05-03","97.95%"
Fiber,"2021-06-02","97.44%"
Fiber,"2021-07-02","98.74%"
Fiber,"2021-08-01","98.75%"
Fiber,"2021-08-31","98.89%"
Fiber,"2021-09-30","98.83%"
Fiber,"2021-10-30","98.92%"
Fiber,"2021-11-29","99.02%"
Fiber,"2021-12-29","98.70%"
Fiber,"2022-01-28","98.61%"
Fiber,"2022-02-27","98.53%"
Fiber,"2022-03-29","98.71%"
Fiber,"2022-04-28","98.80%"
Fiber,"2022-05-28","98.93%"
Fiber,"2022-06-27","98.94%"
Fiber,"2022-07-27","98.72%"
Fiber,"2022-08-26","98.67%"
Fiber,"2022-09-25",null
Fiber,"2022-10-25","98.47%"
Fiber,"2022-11-24","98.70%"
Fiber,"2022-12-24","98.68%"
Fiber,"2023-01-23","98.63%"
Fiber,"2023-02-22","98.70%"
Fiber,"2023-03-24","98.95%"
Fiber,"2023-04-23","98.82%"
Fiber,"2023-05-23","98.23%"
Fiber,"2023-06-22","98.48%"
Fiber,"2023-07-22","98.54%"
