"Top 3 values of operator_technology","dtime per 30 days",Percentage
Cable,"2010-12-27",null
Cable,"2011-01-26","95.92%"
Cable,"2011-02-25","96.69%"
Cable,"2011-03-27","96.97%"
Cable,"2011-04-26","97.54%"
Cable,"2011-05-26","97.56%"
Cable,"2011-06-25","97.56%"
Cable,"2011-07-25","97.59%"
Cable,"2011-08-24","97.74%"
Cable,"2011-09-23","97.40%"
Cable,"2011-10-23","97.28%"
Cable,"2011-11-22","96.13%"
Cable,"2011-12-22","89.69%"
Cable,"2012-01-21","89.95%"
Cable,"2012-02-20","84.19%"
Cable,"2012-03-21","94.99%"
Cable,"2012-04-20","96.67%"
Cable,"2012-05-20","96.28%"
Cable,"2012-06-19","95.86%"
Cable,"2012-07-19","96.39%"
Cable,"2012-08-18","96.79%"
Cable,"2012-09-17","96.43%"
Cable,"2012-10-17","97.52%"
Cable,"2012-11-16","97.35%"
Cable,"2012-12-16","96.51%"
Cable,"2013-01-15","96.63%"
Cable,"2013-02-14","96.39%"
Cable,"2013-03-16","96.76%"
Cable,"2013-04-15","97.10%"
Cable,"2013-05-15","96.90%"
Cable,"2013-06-14","97.45%"
Cable,"2013-07-14","97.10%"
Cable,"2013-08-13","96.56%"
Cable,"2013-09-12","97.17%"
Cable,"2013-10-12","97.29%"
Cable,"2013-11-11","97.11%"
Cable,"2013-12-11","96.61%"
Cable,"2014-01-10","96.75%"
Cable,"2014-02-09","97.22%"
Cable,"2014-03-11","97.37%"
Cable,"2014-04-10","96.99%"
Cable,"2014-05-10","97.36%"
Cable,"2014-06-09","97.39%"
Cable,"2014-07-09","97.92%"
Cable,"2014-08-08","98.20%"
Cable,"2014-09-07","97.60%"
Cable,"2014-10-07","97.12%"
Cable,"2014-11-06","97.52%"
Cable,"2014-12-06","97.39%"
Cable,"2015-01-05","96.68%"
Cable,"2015-02-04","96.31%"
Cable,"2015-03-06","96.17%"
Cable,"2015-04-05","95.96%"
Cable,"2015-05-05","96.15%"
Cable,"2015-06-04","96.61%"
Cable,"2015-07-04","96.59%"
Cable,"2015-08-03","96.22%"
Cable,"2015-09-02","95.94%"
Cable,"2015-10-02","95.74%"
Cable,"2015-11-01","95.40%"
Cable,"2015-12-01","95.25%"
Cable,"2015-12-31","95.14%"
Cable,"2016-01-30","95.24%"
Cable,"2016-02-29","95.68%"
Cable,"2016-03-30","95.76%"
Cable,"2016-04-29","95.04%"
Cable,"2016-05-29","94.60%"
Cable,"2016-06-28","94.57%"
Cable,"2016-07-28","94.44%"
Cable,"2016-08-27","94.35%"
Cable,"2016-09-26","93.48%"
Cable,"2016-10-26","92.71%"
Cable,"2016-11-25","93.00%"
Cable,"2016-12-25","92.72%"
Cable,"2017-01-24","92.59%"
Cable,"2017-02-23","91.42%"
Cable,"2017-03-25","90.15%"
Cable,"2017-04-24","90.11%"
Cable,"2017-05-24","89.72%"
Cable,"2017-06-23","89.35%"
Cable,"2017-07-23","89.08%"
Cable,"2017-08-22","90.18%"
Cable,"2017-09-21","91.63%"
Cable,"2017-10-21","90.67%"
Cable,"2017-11-20","90.65%"
Cable,"2017-12-20","90.51%"
Cable,"2018-01-19","91.64%"
Cable,"2018-02-18","91.18%"
Cable,"2018-03-20","93.83%"
Cable,"2018-04-19","93.68%"
Cable,"2018-05-19","93.31%"
Cable,"2018-06-18","93.28%"
Cable,"2018-07-18","93.29%"
Cable,"2018-08-17","93.66%"
Cable,"2018-09-16","93.70%"
Cable,"2018-10-16","93.48%"
Cable,"2018-11-15","92.73%"
Cable,"2018-12-15","89.92%"
Cable,"2019-01-14","89.30%"
Cable,"2019-02-13","85.88%"
Cable,"2019-03-15","89.57%"
Cable,"2019-04-14","91.72%"
Cable,"2019-05-14","92.40%"
Cable,"2019-06-13","92.52%"
Cable,"2019-07-13","93.16%"
Cable,"2019-08-12","92.70%"
Cable,"2019-09-11","92.51%"
Cable,"2019-10-11","93.13%"
Cable,"2019-11-10","92.86%"
Cable,"2019-12-10","92.48%"
Cable,"2020-01-09","92.58%"
Cable,"2020-02-08","92.33%"
Cable,"2020-03-09","90.76%"
Cable,"2020-04-08","89.98%"
Cable,"2020-05-08","91.28%"
Cable,"2020-06-07","91.88%"
Cable,"2020-07-07","91.73%"
Cable,"2020-08-06","92.81%"
Cable,"2020-09-05",null
Cable,"2020-10-05","93.09%"
Cable,"2020-11-04","93.10%"
Cable,"2020-12-04","93.41%"
Cable,"2021-01-03","92.69%"
Cable,"2021-02-02","92.58%"
Cable,"2021-03-04","94.01%"
Cable,"2021-04-03","94.66%"
Cable,"2021-05-03","95.00%"
Cable,"2021-06-02","93.40%"
Cable,"2021-07-02","95.19%"
Cable,"2021-08-01","95.41%"
Cable,"2021-08-31","95.51%"
Cable,"2021-09-30","95.51%"
Cable,"2021-10-30","95.78%"
