"dtime_local per 10 minutes","95th percentile of rtt_max"
1688342400000,
1688343000000,109.48759999999984
1688343600000,97.72532499999993
1688344200000,99.74968333333324
1688344800000,96.87028749999986
1688345400000,93.56778999999985
1688346000000,92.82259166666651
1688346600000,94.05519285714273
1688347200000,92.61816874999988
1688347800000,93.41181666666657
1688348400000,91.6387549999999
1688349000000,87.76185499999991
1688349600000,88.19909999999992
1688350200000,87.19559999999993
1688350800000,86.19609499999997
1688351400000,87.44236499999997
1688352000000,86.06511999999996
1688352600000,83.518795
1688353200000,83.30799499999996
1688353800000,81.19950499999997
1688354400000,81.62174999999999
1688355000000,83.15881499999999
1688355600000,81.66234499999999
1688356200000,79.33525499999998
1688356800000,80.11846999999997
1688357400000,78.66146999999998
1688358000000,79.26476999999997
1688358600000,80.471555
1688359200000,80.75225999999998
1688359800000,80.28206999999998
1688360400000,80.38700499999997
1688361000000,79.19792499999996
1688361600000,79.87938999999997
1688362200000,81.58617999999997
1688362800000,81.36973499999996
1688363400000,80.91655999999999
1688364000000,80.52176
1688364600000,79.96503999999997
1688365200000,80.55315499999998
1688365800000,82.33784499999997
1688366400000,83.09567999999996
1688367000000,83.48255499999996
1688367600000,84.11837999999997
1688368200000,84.11486999999997
1688368800000,85.08295499999996
1688369400000,85.79355499999997
1688370000000,87.19703999999994
1688370600000,86.87226499999997
1688371200000,86.55502499999994
1688371800000,86.22773499999995
1688372400000,87.51702999999993
1688373000000,90.41168999999992
1688373600000,89.99957499999995
1688374200000,89.75334499999994
1688374800000,89.41045499999996
1688375400000,92.55275499999996
1688376000000,93.08367499999996
1688376600000,96.25522999999995
1688377200000,95.91141999999996
1688377800000,95.30739999999996
1688378400000,93.97286999999999
1688379000000,92.15534
1688379600000,92.089185
1688380200000,94.25278499999993
1688380800000,95.65271499999994
1688381400000,93.09855499999993
1688382000000,92.95727999999994
1688382600000,93.57087999999993
1688383200000,94.34203999999995
1688383800000,97.47914499999993
1688384400000,98.74120499999992
1688385000000,98.25378499999992
1688385600000,99.55932499999992
1688386200000,99.24632499999997
1688386800000,97.68815999999995
1688387400000,98.96360999999996
1688388000000,99.05946499999995
1688388600000,95.18683999999993
1688389200000,95.74036499999994
1688389800000,94.55737999999995
1688390400000,94.83698999999999
1688391000000,98.22204999999998
1688391600000,96.98005999999998
1688392200000,94.80738499999997
1688392800000,95.53811499999996
1688393400000,95.92742999999996
1688394000000,98.39755999999997
1688394600000,101.53263499999997
1688395200000,102.05412999999996
1688395800000,101.27856999999996
1688396400000,102.49729999999994
1688397000000,101.46830999999993
1688397600000,104.9482999999999
1688398200000,108.34305499999994
1688398800000,108.27041999999996
1688399400000,106.13743999999994
1688400000000,103.95800999999993
1688400600000,105.79097999999993
1688401200000,106.86774999999993
1688401800000,107.5567099999999
1688402400000,106.1360699999999
1688403000000,104.56813499999991
1688403600000,101.84019499999992
1688404200000,100.52918999999991
1688404800000,102.8806599999999
1688405400000,104.38906499999992
1688406000000,103.67736499999995
1688406600000,99.4664549999999
1688407200000,97.77711499999991
1688407800000,99.17691999999995
1688408400000,101.99730999999994
1688409000000,102.47475999999992
1688409600000,101.67905999999991
1688410200000,100.13251999999991
1688410800000,98.19546999999991
1688411400000,100.18453999999993
1688412000000,106.46075999999992
1688412600000,108.60386999999996
1688413200000,109.32576499999995
1688413800000,106.72411499999994
1688414400000,104.39011499999997
1688415000000,106.79497999999998
1688415600000,112.75995499999999
1688416200000,113.31786999999997
1688416800000,114.24379499999996
1688417400000,115.04650999999997
1688418000000,111.32065499999999
1688418600000,112.315835
1688419200000,115.89775999999998
1688419800000,117.86150499999998
1688420400000,117.11226499999998
1688421000000,117.04634499999993
1688421600000,114.83876999999994
1688422200000,116.79888999999994
1688422800000,120.93899499999995
1688423400000,119.93118499999997
1688424000000,119.43394499999995
1688424600000,118.72862499999992
1688425200000,115.00040999999995
1688425800000,116.14892999999994
1688426400000,118.57124999999995
1688427000000,117.06595999999996
1688427600000,117.20870499999992
1688428200000,115.98498499999991
1688428800000,111.10859499999994
1688429400000,110.53366499999996
1688430000000,109.87370999999993
1688430600000,108.00786999999995
1688431200000,109.12794499999993
1688431800000,106.20768499999994
1688432400000,102.80313499999993
1688433000000,102.85244499999992
1688433600000,101.02999999999996
1688434200000,98.44380999999996
1688434800000,98.41252999999996
1688435400000,96.13826999999995
1688436000000,93.73039499999994
1688436600000,93.69697999999995
1688437200000,91.38781999999995
1688437800000,90.58593999999995
1688438400000,90.60090499999994
1688439000000,87.27531499999994
1688439600000,85.12417499999997
1688440200000,86.46527999999996
1688440800000,84.56468499999995
1688441400000,83.77350999999996
1688442000000,84.65086499999997
1688442600000,82.62527999999996
1688443200000,80.88867999999995
1688443800000,80.53949999999995
1688444400000,80.68141999999995
1688445000000,81.37862999999994
1688445600000,80.72722999999995
1688446200000,79.56266499999995
1688446800000,78.98092499999996
1688447400000,78.75217999999997
1688448000000,78.51728999999995
1688448600000,79.84131999999995
1688449200000,80.09343499999997
1688449800000,79.51036499999996
1688450400000,77.47721999999996
1688451000000,76.89014499999996
1688451600000,77.63958499999997
1688452200000,78.29792499999996
1688452800000,79.01896999999995
1688453400000,78.72961999999997
1688454000000,78.09518999999997
1688454600000,77.38892999999996
1688455200000,78.15949499999995
1688455800000,78.97750499999998
1688456400000,80.56993999999996
1688457000000,81.14631499999996
1688457600000,80.87021999999997
1688458200000,80.35206999999998
1688458800000,81.38907499999998
1688459400000,84.34672499999998
1688460000000,84.36698999999996
1688460600000,86.61749999999996
1688461200000,86.36511999999996
1688461800000,86.97743499999997
1688462400000,87.17160999999997
1688463000000,90.07034999999998
1688463600000,91.35486499999996
1688464200000,93.85762499999997
1688464800000,92.52067999999997
1688465400000,90.66644999999998
1688466000000,92.73845499999997
1688466600000,92.18993499999998
1688467200000,95.30023499999997
1688467800000,97.41939999999998
1688468400000,97.52555499999997
1688469000000,94.32491499999998
1688469600000,95.57253499999999
1688470200000,97.230645
1688470800000,98.72386999999999
1688471400000,100.45292999999998
1688472000000,98.70816999999998
1688472600000,97.91078499999996
1688473200000,97.59782499999996
1688473800000,98.04496499999995
1688474400000,98.61075999999997
1688475000000,100.84605499999996
1688475600000,98.92249999999994
1688476200000,95.98433999999993
1688476800000,96.17544999999997
1688477400000,96.38908999999994
1688478000000,97.64702999999993
1688478600000,98.73971499999993
1688479200000,96.44887499999996
1688479800000,94.55712999999997
1688480400000,93.89393999999997
1688481000000,94.65258499999995
1688481600000,95.89129499999996
1688482200000,95.59157499999992
1688482800000,95.22886499999989
1688483400000,95.06704999999991
1688484000000,93.85179999999991
1688484600000,96.16564999999993
1688485200000,98.21874999999991
1688485800000,98.07768499999992
1688486400000,98.04095499999991
1688487000000,96.3107599999999
1688487600000,95.05883999999992
1688488200000,99.10930999999995
1688488800000,101.08499499999994
1688489400000,101.21311999999993
1688490000000,104.29460999999995
1688490600000,103.11563999999993
1688491200000,104.75111999999994
1688491800000,104.55689999999994
1688492400000,107.47838999999995
1688493000000,109.84482499999993
1688493600000,111.44463999999992
1688494200000,110.1389349999999
1688494800000,108.25351499999996
1688495400000,109.17996499999997
1688496000000,106.25145499999999
1688496600000,104.19059499999999
1688497200000,101.92857499999998
1688497800000,102.72398499999996
1688498400000,100.50123499999995
1688499000000,103.73425499999996
1688499600000,102.68868499999998
1688500200000,101.04908999999998
1688500800000,102.79892999999998
1688501400000,102.04552999999999
1688502000000,103.68717499999997
1688502600000,106.21517999999998
1688503200000,105.76854499999997
1688503800000,105.96762499999997
1688504400000,107.75644499999994
1688505000000,103.30014499999994
1688505600000,104.25895499999996
1688506200000,107.38252499999994
1688506800000,106.30231499999998
1688507400000,105.51602999999996
