"dtime per 30 days","Downstream LUL"
"2010-12-27",null
"2011-01-26","154.115"
"2011-02-25","139.764"
"2011-03-27","133.5"
"2011-04-26","139.758"
"2011-05-26","147.709"
"2011-06-25","147.047"
"2011-07-25","136.636"
"2011-08-24","140.194"
"2011-09-23","170.991"
"2011-10-23","172.676"
"2011-11-22","174.375"
"2011-12-22","192.255"
"2012-01-21","199.883"
"2012-02-20","199.56"
"2012-03-21","175.569"
"2012-04-20","167.399"
"2012-05-20","168.015"
"2012-06-19","168.918"
"2012-07-19","167.99"
"2012-08-18","173.592"
"2012-09-17","163.917"
"2012-10-17","170.389"
"2012-11-16","162.736"
"2012-12-16","166.544"
"2013-01-15","171.999"
"2013-02-14","169.964"
"2013-03-16","166.819"
"2013-04-15","157.416"
"2013-05-15","154.464"
"2013-06-14","145.817"
"2013-07-14","144.951"
"2013-08-13","144.093"
"2013-09-12","142.318"
"2013-10-12","137.208"
"2013-11-11","138.099"
"2013-12-11","139.577"
"2014-01-10","139.717"
"2014-02-09","138.629"
"2014-03-11","133.841"
"2014-04-10","135.431"
"2014-05-10","134.681"
"2014-06-09","142.919"
"2014-07-09","141.507"
"2014-08-08","137.884"
"2014-09-07","137.935"
"2014-10-07","138.62"
"2014-11-06","139.912"
"2014-12-06","141.227"
"2015-01-05","151.718"
"2015-02-04","150.635"
"2015-03-06","145.846"
"2015-04-05","146.719"
"2015-05-05","145.888"
"2015-06-04","140.722"
"2015-07-04","137.637"
"2015-08-03","135.419"
"2015-09-02","130.115"
"2015-10-02","130.489"
"2015-11-01","131.1"
"2015-12-01","132.621"
"2015-12-31","115.681"
"2016-01-30","112.829"
"2016-02-29","113.206"
"2016-03-30","111.894"
"2016-04-29","113.62"
"2016-05-29","109.377"
"2016-06-28","111.637"
"2016-07-28","118.482"
"2016-08-27","134.863"
"2016-09-26","130.23"
"2016-10-26","119.828"
"2016-11-25","123.307"
"2016-12-25","125.051"
"2017-01-24","130.935"
"2017-02-23","128.032"
"2017-03-25","130.295"
"2017-04-24","133.08"
"2017-05-24","123.165"
"2017-06-23","127.5"
"2017-07-23","122.325"
"2017-08-22","117.168"
"2017-09-21","118.357"
"2017-10-21","116.688"
"2017-11-20","115.424"
"2017-12-20","110.812"
"2018-01-19","108.767"
"2018-02-18","111.113"
"2018-03-20","109.946"
"2018-04-19","107.699"
"2018-05-19","108.383"
"2018-06-18","105.703"
"2018-07-18","106.074"
"2018-08-17","98.446"
"2018-09-16","96.05"
"2018-10-16","95.245"
"2018-11-15","90.342"
"2018-12-15","92.366"
"2019-01-14","92.91"
"2019-02-13","93.4"
"2019-03-15","93.741"
"2019-04-14","91.428"
"2019-05-14","86.402"
"2019-06-13","87.506"
"2019-07-13","87.308"
"2019-08-12","88.403"
"2019-09-11","89.112"
"2019-10-11","87.08"
"2019-11-10","85.729"
"2019-12-10","88.107"
"2020-01-09","83.863"
"2020-02-08","83.835"
"2020-03-09","86.87"
"2020-04-08","87.191"
"2020-05-08","85.918"
"2020-06-07","83.244"
"2020-07-07","84.43"
"2020-08-06","75.278"
"2020-09-05",null
"2020-10-05","73.439"
"2020-11-04","79.043"
"2020-12-04","79.739"
"2021-01-03","73.462"
"2021-02-02","71.98"
"2021-03-04","72.616"
"2021-04-03","71.973"
"2021-05-03","69.468"
"2021-06-02","71.973"
"2021-07-02","70.487"
"2021-08-01","67.532"
"2021-08-31","70.24"
"2021-09-30","70.831"
"2021-10-30","71.155"
"2021-11-29","74.059"
"2021-12-29","72.993"
"2022-01-28","76.399"
"2022-02-27","74.019"
"2022-03-29","72.751"
"2022-04-28","71.747"
"2022-05-28","71.795"
"2022-06-27","70.478"
"2022-07-27","69.142"
"2022-08-26","68.663"
"2022-09-25",null
"2022-10-25","66.316"
"2022-11-24","65.206"
"2022-12-24","66.243"
"2023-01-23","65.564"
"2023-02-22","62.742"
"2023-03-24","63.7"
"2023-04-23","60.341"
"2023-05-23","64.721"
"2023-06-22","64.419"
"2023-07-22","60.531"
