"Top 3 values of operator_technology","dtime per 30 days",Percentage
DSL,"2011-01-26","3.79%"
DSL,"2011-02-25","8.47%"
DSL,"2011-03-27","8.87%"
DSL,"2011-04-26","6.00%"
DSL,"2011-05-26","2.41%"
DSL,"2011-06-25","1.99%"
DSL,"2011-07-25","3.11%"
DSL,"2011-08-24","5.84%"
DSL,"2011-09-23","0.97%"
DSL,"2011-10-23","0.85%"
DSL,"2011-11-22","1.17%"
DSL,"2011-12-22","0.71%"
DSL,"2012-01-21","0.70%"
DSL,"2012-02-20","0.62%"
DSL,"2012-03-21","0.76%"
DSL,"2012-04-20","0.59%"
DSL,"2012-05-20","0.51%"
DSL,"2012-06-19","0.49%"
DSL,"2012-07-19","0.47%"
DSL,"2012-08-18","0.57%"
DSL,"2012-09-17","0.75%"
DSL,"2012-10-17","0.93%"
DSL,"2012-11-16","0.76%"
DSL,"2012-12-16","0.50%"
DSL,"2013-01-15","0.78%"
DSL,"2013-02-14","0.78%"
DSL,"2013-03-16","1.11%"
DSL,"2013-04-15","0.55%"
DSL,"2013-05-15","0.91%"
DSL,"2013-06-14","1.18%"
DSL,"2013-07-14","1.13%"
DSL,"2013-08-13","1.08%"
DSL,"2013-09-12","0.75%"
DSL,"2013-10-12","1.04%"
DSL,"2013-11-11","0.84%"
DSL,"2013-12-11","1.27%"
DSL,"2014-01-10","0.64%"
DSL,"2014-02-09","0.51%"
DSL,"2014-03-11","0.93%"
DSL,"2014-04-10","0.72%"
DSL,"2014-05-10","1.78%"
DSL,"2014-06-09","1.53%"
DSL,"2014-07-09","1.27%"
DSL,"2014-08-08","1.15%"
DSL,"2014-09-07","1.70%"
DSL,"2014-10-07","1.71%"
DSL,"2014-11-06","1.88%"
DSL,"2014-12-06","2.15%"
DSL,"2015-01-05","2.80%"
DSL,"2015-02-04","2.12%"
DSL,"2015-03-06","1.92%"
DSL,"2015-04-05","1.83%"
DSL,"2015-05-05","1.62%"
DSL,"2015-06-04","1.51%"
DSL,"2015-07-04","1.85%"
DSL,"2015-08-03","2.50%"
DSL,"2015-09-02","3.74%"
DSL,"2015-10-02","3.62%"
DSL,"2015-11-01","2.77%"
DSL,"2015-12-01","3.15%"
DSL,"2015-12-31","2.85%"
DSL,"2016-01-30","3.43%"
DSL,"2016-02-29","3.06%"
DSL,"2016-03-30","3.81%"
DSL,"2016-04-29","3.49%"
DSL,"2016-05-29","3.06%"
DSL,"2016-06-28",null
DSL,"2016-07-28","4.17%"
DSL,"2016-08-27","5.22%"
DSL,"2016-09-26","5.54%"
DSL,"2016-10-26","6.86%"
DSL,"2016-11-25","5.88%"
DSL,"2016-12-25","6.14%"
DSL,"2017-01-24","4.47%"
DSL,"2017-02-23","4.86%"
DSL,"2017-03-25","4.22%"
DSL,"2017-04-24","5.05%"
DSL,"2017-05-24","5.63%"
DSL,"2017-06-23","5.84%"
DSL,"2017-07-23","5.40%"
DSL,"2017-08-22","6.86%"
DSL,"2017-09-21","7.46%"
DSL,"2017-10-21","8.34%"
DSL,"2017-11-20","8.51%"
DSL,"2017-12-20","9.26%"
DSL,"2018-01-19","8.95%"
DSL,"2018-02-18","9.26%"
DSL,"2018-03-20","8.24%"
DSL,"2018-04-19","8.58%"
DSL,"2018-05-19","8.36%"
DSL,"2018-06-18","11.61%"
DSL,"2018-07-18","19.09%"
DSL,"2018-08-17","20.21%"
DSL,"2018-09-16","22.41%"
DSL,"2018-10-16","23.06%"
DSL,"2018-11-15","23.09%"
DSL,"2018-12-15","22.83%"
DSL,"2019-01-14","23.12%"
DSL,"2019-02-13","22.93%"
DSL,"2019-03-15","23.94%"
DSL,"2019-04-14","23.28%"
DSL,"2019-05-14","20.16%"
DSL,"2019-06-13","21.62%"
DSL,"2019-07-13","20.48%"
DSL,"2019-08-12","21.84%"
DSL,"2019-09-11","22.17%"
DSL,"2019-10-11","22.64%"
DSL,"2019-11-10","22.99%"
DSL,"2019-12-10","20.75%"
DSL,"2020-01-09","18.88%"
DSL,"2020-02-08","18.88%"
DSL,"2020-03-09","18.89%"
DSL,"2020-04-08","19.10%"
DSL,"2020-05-08","20.02%"
DSL,"2020-06-07","11.37%"
DSL,"2020-07-07","9.23%"
DSL,"2020-08-06","13.28%"
DSL,"2020-09-05",null
DSL,"2020-10-05","14.75%"
DSL,"2020-11-04","14.32%"
DSL,"2020-12-04","14.05%"
