"Top 3 values of operator_technology","time per 30 days","Latency"
Cable,"2011-12-22","2,179.143"
Cable,"2012-01-21","2,181.383"
Cable,"2012-02-20","2,196.523"
Cable,"2012-03-21","2,134.46"
Cable,"2012-04-20","2,145.526"
Cable,"2012-05-20","2,132.424"
Cable,"2012-06-19","2,195.458"
Cable,"2012-07-19","2,160.767"
Cable,"2012-08-18","2,184.578"
Cable,"2012-09-17","2,214.156"
Cable,"2012-10-17","2,149.791"
Cable,"2012-11-16","2,201.392"
Cable,"2012-12-16","2,204.492"
Cable,"2013-01-15","2,032.668"
Cable,"2013-02-14","2,049.613"
Cable,"2013-03-16","2,016.148"
Cable,"2013-04-15","1,985.183"
Cable,"2013-05-15","1,982.397"
Cable,"2013-06-14","1,988.687"
Cable,"2013-07-14","1,961.948"
Cable,"2013-08-13","1,900.794"
Cable,"2013-09-12","1,871.25"
Cable,"2013-10-12","1,850.618"
Cable,"2013-11-11","1,872.298"
Cable,"2013-12-11","1,861.524"
Cable,"2014-01-10","1,863.511"
Cable,"2014-02-09","1,878.746"
Cable,"2014-03-11","1,945.987"
Cable,"2014-04-10","1,927.23"
Cable,"2014-05-10","1,872.762"
Cable,"2014-06-09","1,884.566"
Cable,"2014-07-09","1,890.154"
Cable,"2014-08-08","1,884.124"
Cable,"2014-09-07","2,051.519"
Cable,"2014-10-07","2,081.61"
Cable,"2014-11-06","2,097.864"
Cable,"2014-12-06","2,017.113"
Cable,"2015-01-05","2,076.931"
Cable,"2015-02-04","2,150.434"
Cable,"2015-03-06","2,096.852"
Cable,"2015-04-05","2,126.028"
Cable,"2015-05-05","2,125.161"
Cable,"2015-06-04","2,104.157"
Cable,"2015-07-04","2,037.135"
Cable,"2015-08-03","1,987.762"
Cable,"2015-09-02","1,910.445"
Cable,"2015-10-02","1,847.979"
Cable,"2015-11-01","1,845.623"
Cable,"2015-12-01","1,784.009"
Cable,"2015-12-31","1,722.712"
Cable,"2016-01-30","1,607.153"
Cable,"2016-02-29","1,573.29"
Cable,"2016-03-30","1,613.704"
Cable,"2016-04-29","1,595.043"
Cable,"2016-05-29","1,556.514"
Cable,"2016-07-28","1,487.535"
Cable,"2016-08-27","1,443.224"
Cable,"2016-09-26","1,527.107"
Cable,"2016-10-26","1,478.42"
Cable,"2016-11-25","1,442.083"
Cable,"2016-12-25","1,375.629"
Cable,"2017-01-24","1,349.058"
Cable,"2017-02-23","1,315.18"
Cable,"2017-03-25","1,269.369"
Cable,"2017-04-24","1,231.163"
Cable,"2017-05-24","1,181.19"
Cable,"2017-06-23","1,241.561"
Cable,"2017-07-23","1,347.152"
Cable,"2017-08-22","1,296.646"
Cable,"2017-09-21","1,288.186"
Cable,"2017-10-21","1,286.908"
Cable,"2017-11-20","1,235.403"
Cable,"2017-12-20","1,266.045"
Cable,"2018-01-19","1,212.346"
Cable,"2018-02-18","1,235.984"
Cable,"2018-03-20","1,149.493"
Cable,"2018-04-19","1,163.801"
Cable,"2018-05-19","1,223.397"
Cable,"2018-06-18","1,195.811"
Cable,"2018-07-18","1,175.257"
Cable,"2018-08-17","1,043.16"
Cable,"2018-09-16","957.159"
Cable,"2018-10-16","936.122"
Cable,"2018-11-15","895.977"
Cable,"2018-12-15","899.967"
Cable,"2019-01-14","924.832"
Cable,"2019-02-13","952.931"
Cable,"2019-03-15","936.017"
Cable,"2019-04-14","914.81"
Cable,"2019-05-14","922.761"
Cable,"2019-06-13","1,031.31"
Cable,"2019-07-13","1,125.92"
Cable,"2019-08-12","1,067.221"
Cable,"2019-09-11","1,075.748"
Cable,"2019-10-11","1,082.008"
Cable,"2019-11-10","1,021.111"
Cable,"2019-12-10","1,081.653"
Cable,"2020-01-09","1,095.03"
Cable,"2020-02-08","1,093.214"
Cable,"2020-03-09","1,141.5"
Cable,"2020-04-08","1,140.373"
Cable,"2020-05-08","1,082.171"
Cable,"2020-06-07","1,120.297"
Cable,"2020-07-07","1,065.821"
Cable,"2020-08-06","1,018.881"
Cable,"2020-10-05","946.502"
Cable,"2020-11-04","934.937"
Cable,"2020-12-04","923.848"
Cable,"2021-01-03","911.668"
Cable,"2021-02-02","896.238"
Cable,"2021-03-04","883.909"
Cable,"2021-04-03","932.443"
Cable,"2021-05-03","919.704"
Cable,"2021-06-02","914.999"
Cable,"2021-07-02","892.028"
Cable,"2021-08-01","883.248"
Cable,"2021-08-31","866.447"
Cable,"2021-09-30","903.878"
Cable,"2021-10-30","924.42"
