"Top 3 values of operator_technology","dtime per 30 days","Median Latency (ms)"
Fiber,"2013-12-11","92.875"
Fiber,"2014-01-10","92.535"
Fiber,"2014-02-09","92.632"
Fiber,"2014-03-11","87.826"
Fiber,"2014-04-10","84.31"
Fiber,"2014-05-10","84.662"
Fiber,"2014-06-09","85.758"
Fiber,"2014-07-09","85.395"
Fiber,"2014-08-08","78.024"
Fiber,"2014-09-07","69.72"
Fiber,"2014-10-07","63.163"
Fiber,"2014-11-06","61.434"
Fiber,"2014-12-06","61.061"
Fiber,"2015-01-05","59.519"
Fiber,"2015-02-04","61.104"
Fiber,"2015-03-06","60.931"
Fiber,"2015-04-05","58.183"
Fiber,"2015-05-05","57.722"
Fiber,"2015-06-04","57.034"
Fiber,"2015-07-04","55.043"
Fiber,"2015-08-03","54.369"
Fiber,"2015-09-02","54.403"
Fiber,"2015-10-02","52.801"
Fiber,"2015-11-01","54.205"
Fiber,"2015-12-01","51.656"
Fiber,"2015-12-31","52.191"
Fiber,"2016-01-30","48.833"
Fiber,"2016-02-29","49.334"
Fiber,"2016-03-30","51.079"
Fiber,"2016-04-29","49.493"
Fiber,"2016-05-29","48.462"
Fiber,"2016-06-28",null
Fiber,"2016-07-28","52.972"
Fiber,"2016-08-27","58.109"
Fiber,"2016-09-26","58.206"
Fiber,"2016-10-26","57.758"
Fiber,"2016-11-25","57.165"
Fiber,"2016-12-25","58.49"
Fiber,"2017-01-24","59.509"
Fiber,"2017-02-23","58.901"
Fiber,"2017-03-25","58.264"
Fiber,"2017-04-24","57.728"
Fiber,"2017-05-24","56.584"
Fiber,"2017-06-23","57.093"
Fiber,"2017-07-23","57.011"
Fiber,"2017-08-22","57.339"
Fiber,"2017-09-21","58.953"
Fiber,"2017-10-21","57.674"
Fiber,"2017-11-20","56.549"
Fiber,"2017-12-20","56.054"
Fiber,"2018-01-19","54.994"
Fiber,"2018-02-18","54.716"
Fiber,"2018-03-20","53.476"
Fiber,"2018-04-19","53.177"
Fiber,"2018-05-19","52.777"
Fiber,"2018-06-18","51.611"
Fiber,"2018-07-18","48.407"
Fiber,"2018-08-17","44.831"
Fiber,"2018-09-16","41.088"
Fiber,"2018-10-16","38.958"
Fiber,"2018-11-15","38.473"
Fiber,"2018-12-15","37.699"
Fiber,"2019-01-14","37.08"
Fiber,"2019-02-13","36.812"
Fiber,"2019-03-15","35.355"
Fiber,"2019-04-14","35.817"
Fiber,"2019-05-14","34.384"
Fiber,"2019-06-13","33.283"
Fiber,"2019-07-13","30.218"
Fiber,"2019-08-12","26.292"
Fiber,"2019-09-11","26.667"
Fiber,"2019-10-11","25.983"
Fiber,"2019-11-10","28.059"
Fiber,"2019-12-10","30.459"
Fiber,"2020-01-09","41.97"
Fiber,"2020-02-08","39.734"
Fiber,"2020-03-09","41.524"
Fiber,"2020-04-08","41.693"
Fiber,"2020-05-08","40.19"
Fiber,"2020-06-07","38.168"
Fiber,"2020-07-07","37.388"
Fiber,"2020-08-06","24.321"
Fiber,"2020-09-05",null
Fiber,"2020-10-05","21.492"
Fiber,"2020-11-04","24.484"
Fiber,"2020-12-04","24.613"
Fiber,"2021-01-03","25.582"
Fiber,"2021-02-02","24.015"
Fiber,"2021-03-04","25.762"
Fiber,"2021-04-03","28.105"
Fiber,"2021-05-03","22.061"
Fiber,"2021-06-02","18.752"
Fiber,"2021-07-02","18.883"
Fiber,"2021-08-01","18.843"
Fiber,"2021-08-31","19.048"
Fiber,"2021-09-30","18.838"
Fiber,"2021-10-30","19.246"
Fiber,"2021-11-29","18.401"
Fiber,"2021-12-29","18.039"
Fiber,"2022-01-28","17.762"
Fiber,"2022-02-27","17.797"
Fiber,"2022-03-29","18.075"
Fiber,"2022-04-28","17.865"
Fiber,"2022-05-28","18.001"
Fiber,"2022-06-27","17.891"
Fiber,"2022-07-27","18.039"
Fiber,"2022-08-26","17.832"
Fiber,"2022-09-25",null
Fiber,"2022-10-25","17.122"
Fiber,"2022-11-24","16.936"
Fiber,"2022-12-24","16.585"
Fiber,"2023-01-23","16.414"
Fiber,"2023-02-22","15.434"
Fiber,"2023-03-24","14.745"
Fiber,"2023-04-23","14.914"
Fiber,"2023-05-23","16.785"
Fiber,"2023-06-22","16.595"
Fiber,"2023-07-22","16.3"
