"Top 3 values of operator_technology","dtime per 30 days","Median Latency (ms)"
Cable,"2010-12-27",null
Cable,"2011-01-26","584.318"
Cable,"2011-02-25","555.155"
Cable,"2011-03-27","539.549"
Cable,"2011-04-26","543.221"
Cable,"2011-05-26","555.679"
Cable,"2011-06-25","550.838"
Cable,"2011-07-25","543.329"
Cable,"2011-08-24","552.662"
Cable,"2011-09-23","591.515"
Cable,"2011-10-23","583.185"
Cable,"2011-11-22","561.209"
Cable,"2011-12-22","554.531"
Cable,"2012-01-21","552.043"
Cable,"2012-02-20","553.024"
Cable,"2012-03-21","554.061"
Cable,"2012-04-20","547.319"
Cable,"2012-05-20","516.93"
Cable,"2012-06-19","527.716"
Cable,"2012-07-19","524.488"
Cable,"2012-08-18","513.816"
Cable,"2012-09-17","499.271"
Cable,"2012-10-17","488.646"
Cable,"2012-11-16","493.624"
Cable,"2012-12-16","476.939"
Cable,"2013-01-15","444.21"
Cable,"2013-02-14","441.773"
Cable,"2013-03-16","430.078"
Cable,"2013-04-15","415.824"
Cable,"2013-05-15","402.939"
Cable,"2013-06-14","402.928"
Cable,"2013-07-14","381.813"
Cable,"2013-08-13","361.541"
Cable,"2013-09-12","354.502"
Cable,"2013-10-12","339.897"
Cable,"2013-11-11","337.876"
Cable,"2013-12-11","328.454"
Cable,"2014-01-10","327.222"
Cable,"2014-02-09","335.142"
Cable,"2014-03-11","331.552"
Cable,"2014-04-10","332.131"
Cable,"2014-05-10","324.782"
Cable,"2014-06-09","335.269"
Cable,"2014-07-09","335.407"
Cable,"2014-08-08","313.943"
Cable,"2014-09-07","307.111"
Cable,"2014-10-07","304.269"
Cable,"2014-11-06","296.852"
Cable,"2014-12-06","301.745"
Cable,"2015-01-05","290.94"
Cable,"2015-02-04","297.15"
Cable,"2015-03-06","292.8"
Cable,"2015-04-05","293.86"
Cable,"2015-05-05","285.219"
Cable,"2015-06-04","284.082"
Cable,"2015-07-04","283.469"
Cable,"2015-08-03","269.753"
Cable,"2015-09-02","251.603"
Cable,"2015-10-02","237.969"
Cable,"2015-11-01","233.1"
Cable,"2015-12-01","234.024"
Cable,"2015-12-31","234.9"
Cable,"2016-01-30","229.388"
Cable,"2016-02-29","232.53"
Cable,"2016-03-30","242.924"
Cable,"2016-04-29","240.861"
Cable,"2016-05-29","227.044"
Cable,"2016-06-28",null
Cable,"2016-07-28","228.567"
Cable,"2016-08-27","229.704"
Cable,"2016-09-26","224.734"
Cable,"2016-10-26","215.594"
Cable,"2016-11-25","213.58"
Cable,"2016-12-25","203.218"
Cable,"2017-01-24","206.203"
Cable,"2017-02-23","194.886"
Cable,"2017-03-25","198.658"
Cable,"2017-04-24","195.021"
Cable,"2017-05-24","189.547"
Cable,"2017-06-23","184.79"
Cable,"2017-07-23","183.169"
Cable,"2017-08-22","176.279"
Cable,"2017-09-21","152.452"
Cable,"2017-10-21","162.862"
Cable,"2017-11-20","158.15"
Cable,"2017-12-20","160.556"
Cable,"2018-01-19","153.539"
Cable,"2018-02-18","157.974"
Cable,"2018-03-20","144.028"
Cable,"2018-04-19","138.475"
Cable,"2018-05-19","136.2"
Cable,"2018-06-18","129.388"
Cable,"2018-07-18","118.88"
Cable,"2018-08-17","101.58"
Cable,"2018-09-16","89.414"
Cable,"2018-10-16","88.081"
Cable,"2018-11-15","88.925"
Cable,"2018-12-15","87.096"
Cable,"2019-01-14","84.444"
Cable,"2019-02-13","88.243"
Cable,"2019-03-15","83.625"
Cable,"2019-04-14","88.464"
Cable,"2019-05-14","85.649"
Cable,"2019-06-13","77.472"
Cable,"2019-07-13","74.397"
Cable,"2019-08-12","72.655"
Cable,"2019-09-11","73.111"
Cable,"2019-10-11","71.879"
Cable,"2019-11-10","72.951"
Cable,"2019-12-10","74.314"
Cable,"2020-01-09","73.245"
Cable,"2020-02-08","74.385"
Cable,"2020-03-09","75.53"
Cable,"2020-04-08","76.646"
Cable,"2020-05-08","75.264"
Cable,"2020-06-07","73.875"
Cable,"2020-07-07","73.005"
Cable,"2020-08-06","67.959"
Cable,"2020-09-05",null
Cable,"2020-10-05","68.836"
Cable,"2020-11-04","67.66"
Cable,"2020-12-04","67.531"
Cable,"2021-01-03","67.501"
Cable,"2021-02-02","67.269"
Cable,"2021-03-04","65.809"
Cable,"2021-04-03","65.4"
Cable,"2021-05-03","63.491"
Cable,"2021-06-02","63.608"
Cable,"2021-07-02","63.183"
Cable,"2021-08-01","61.242"
Cable,"2021-08-31","59.282"
Cable,"2021-09-30","59.366"
Cable,"2021-10-30","59.748"
Cable,"2021-11-29","59.507"
Cable,"2021-12-29","58.835"
Cable,"2022-01-28","57.501"
Cable,"2022-02-27","56.967"
Cable,"2022-03-29","57.156"
Cable,"2022-04-28","56.42"
Cable,"2022-05-28","55.437"
Cable,"2022-06-27","56.062"
Cable,"2022-07-27","55.092"
Cable,"2022-08-26","54.515"
Cable,"2022-09-25",null
Cable,"2022-10-25","52.538"
Cable,"2022-11-24","52.535"
Cable,"2022-12-24","51.982"
Cable,"2023-01-23","51.265"
Cable,"2023-02-22","49.926"
Cable,"2023-03-24","48.734"
Cable,"2023-04-23","49.354"
Cable,"2023-05-23","50.238"
Cable,"2023-06-22","48.366"
Cable,"2023-07-22","46.425"
DSL,"2010-12-27",null
DSL,"2011-01-26","657.331"
DSL,"2011-02-25","685.761"
DSL,"2011-03-27","683.786"
DSL,"2011-04-26","685.448"
DSL,"2011-05-26","732.522"
DSL,"2011-06-25","728.936"
DSL,"2011-07-25","717.464"
DSL,"2011-08-24","697.646"
DSL,"2011-09-23","724.842"
DSL,"2011-10-23","749.735"
DSL,"2011-11-22","748.489"
DSL,"2011-12-22","751.412"
DSL,"2012-01-21","748.741"
DSL,"2012-02-20","742.808"
DSL,"2012-03-21","733.559"
DSL,"2012-04-20","733.064"
DSL,"2012-05-20","732.454"
DSL,"2012-06-19","731.625"
DSL,"2012-07-19","724.607"
DSL,"2012-08-18","725.004"
DSL,"2012-09-17","719.797"
DSL,"2012-10-17","713.903"
DSL,"2012-11-16","710.768"
DSL,"2012-12-16","710.85"
DSL,"2013-01-15","647.468"
DSL,"2013-02-14","646.955"
DSL,"2013-03-16","638.724"
DSL,"2013-04-15","637.773"
DSL,"2013-05-15","634.953"
DSL,"2013-06-14","632.076"
DSL,"2013-07-14","630.655"
DSL,"2013-08-13","624.077"
DSL,"2013-09-12","628.281"
DSL,"2013-10-12","628.204"
DSL,"2013-11-11","629.235"
DSL,"2013-12-11","627.155"
DSL,"2014-01-10","627.953"
DSL,"2014-02-09","604.392"
DSL,"2014-03-11","579.786"
DSL,"2014-04-10","577.986"
DSL,"2014-05-10","575.808"
DSL,"2014-06-09","587.817"
DSL,"2014-07-09","572.229"
DSL,"2014-08-08","553.288"
DSL,"2014-09-07","549.053"
DSL,"2014-10-07","545.398"
DSL,"2014-11-06","536.982"
DSL,"2014-12-06","538.634"
DSL,"2015-01-05","596.796"
DSL,"2015-02-04","602.86"
DSL,"2015-03-06","605.678"
DSL,"2015-04-05","597.124"
DSL,"2015-05-05","596.817"
DSL,"2015-06-04","593.409"
DSL,"2015-07-04","587.768"
DSL,"2015-08-03","573.38"
DSL,"2015-09-02","549.337"
DSL,"2015-10-02","548.232"
DSL,"2015-11-01","562.194"
DSL,"2015-12-01","559.057"
DSL,"2015-12-31","490.733"
DSL,"2016-01-30","488.141"
DSL,"2016-02-29","483.069"
DSL,"2016-03-30","494.917"
DSL,"2016-04-29","493.099"
DSL,"2016-05-29","482.486"
DSL,"2016-06-28",null
DSL,"2016-07-28","505.947"
DSL,"2016-08-27","535.541"
DSL,"2016-09-26","538.657"
DSL,"2016-10-26","536.546"
DSL,"2016-11-25","542.71"
DSL,"2016-12-25","601.808"
DSL,"2017-01-24","701.056"
DSL,"2017-02-23","708.785"
DSL,"2017-03-25","685.965"
DSL,"2017-04-24","673.533"
DSL,"2017-05-24","654.439"
DSL,"2017-06-23","642.211"
DSL,"2017-07-23","697.32"
DSL,"2017-08-22","649.153"
DSL,"2017-09-21","616.879"
DSL,"2017-10-21","574.788"
DSL,"2017-11-20","561.502"
DSL,"2017-12-20","504.235"
DSL,"2018-01-19","480.171"
DSL,"2018-02-18","483.158"
DSL,"2018-03-20","509.437"
DSL,"2018-04-19","517.384"
DSL,"2018-05-19","482.66"
DSL,"2018-06-18","455.84"
DSL,"2018-07-18","394.947"
DSL,"2018-08-17","389.274"
DSL,"2018-09-16","374.621"
DSL,"2018-10-16","383.41"
DSL,"2018-11-15","379.633"
DSL,"2018-12-15","390.068"
DSL,"2019-01-14","392.294"
DSL,"2019-02-13","391.16"
DSL,"2019-03-15","362.457"
DSL,"2019-04-14","380.572"
DSL,"2019-05-14","381.832"
DSL,"2019-06-13","330.085"
DSL,"2019-07-13","327.184"
DSL,"2019-08-12","315.842"
DSL,"2019-09-11","312.541"
DSL,"2019-10-11","304.293"
DSL,"2019-11-10","290.646"
DSL,"2019-12-10","347.451"
DSL,"2020-01-09","357.182"
DSL,"2020-02-08","368.156"
DSL,"2020-03-09","354.537"
DSL,"2020-04-08","353.603"
DSL,"2020-05-08","321.708"
DSL,"2020-06-07","391.912"
DSL,"2020-07-07","407.28"
DSL,"2020-08-06","330.754"
DSL,"2020-09-05",null
DSL,"2020-10-05","268.683"
DSL,"2020-11-04","263.465"
DSL,"2020-12-04","257.378"
DSL,"2021-01-03","282.858"
DSL,"2021-02-02","288.775"
DSL,"2021-03-04","287.808"
DSL,"2021-04-03","317.347"
DSL,"2021-05-03","377.317"
DSL,"2021-06-02","367.071"
DSL,"2021-07-02","391.555"
DSL,"2021-08-01","388.439"
DSL,"2021-08-31","386.541"
DSL,"2021-09-30","388.45"
DSL,"2021-10-30","365.71"
DSL,"2021-11-29","349.081"
DSL,"2021-12-29","339.042"
DSL,"2022-01-28","331.74"
DSL,"2022-02-27","314.718"
DSL,"2022-03-29","320.352"
DSL,"2022-04-28","311.348"
DSL,"2022-05-28","295.298"
DSL,"2022-06-27","286.322"
DSL,"2022-07-27","281.036"
DSL,"2022-08-26","269.667"
DSL,"2022-09-25",null
DSL,"2022-10-25","252.891"
DSL,"2022-11-24","254.619"
DSL,"2022-12-24","266.314"
DSL,"2023-01-23","260.132"
DSL,"2023-02-22","240.4"
DSL,"2023-03-24","193.793"
DSL,"2023-04-23","216.628"
DSL,"2023-05-23","192.396"
DSL,"2023-06-22","184.069"
DSL,"2023-07-22","175.711"
Fiber,"2010-12-27",null
Fiber,"2011-01-26","101.721"
Fiber,"2011-02-25","100.817"
Fiber,"2011-03-27","100.539"
Fiber,"2011-04-26","101.066"
Fiber,"2011-05-26","102.949"
Fiber,"2011-06-25","103.413"
Fiber,"2011-07-25","103.096"
Fiber,"2011-08-24","105.682"
Fiber,"2011-09-23","107.462"
Fiber,"2011-10-23","107.663"
Fiber,"2011-11-22","105.677"
Fiber,"2011-12-22","104.704"
Fiber,"2012-01-21","107.532"
Fiber,"2012-02-20","108.467"
Fiber,"2012-03-21","96.553"
Fiber,"2012-04-20","92.109"
Fiber,"2012-05-20","88.678"
Fiber,"2012-06-19","88.792"
Fiber,"2012-07-19","86.368"
Fiber,"2012-08-18","89.643"
Fiber,"2012-09-17","89.512"
Fiber,"2012-10-17","86.34"
Fiber,"2012-11-16","86.275"
Fiber,"2012-12-16","87.88"
Fiber,"2013-01-15","87.854"
Fiber,"2013-02-14","86.196"
Fiber,"2013-03-16","82.267"
Fiber,"2013-04-15","81.995"
Fiber,"2013-05-15","83.549"
Fiber,"2013-06-14","81.959"
Fiber,"2013-07-14","83.226"
Fiber,"2013-08-13","82.456"
Fiber,"2013-09-12","89.499"
Fiber,"2013-10-12","91.505"
Fiber,"2013-11-11","92.265"
