"Top 3 values of operator_technology","dtime per 30 days","Latency"
DSL,"2012-09-17","2,639.292"
DSL,"2012-10-17","2,642.291"
DSL,"2012-11-16","2,596.156"
DSL,"2012-12-16","2,613.727"
DSL,"2013-01-15","2,700.12"
DSL,"2013-02-14","2,695.44"
DSL,"2013-03-16","2,691.498"
DSL,"2013-04-15","2,664.249"
DSL,"2013-05-15","2,661.145"
DSL,"2013-06-14","2,653.892"
DSL,"2013-07-14","2,651.966"
DSL,"2013-08-13","2,646.534"
DSL,"2013-09-12","2,649.128"
DSL,"2013-10-12","2,666.443"
DSL,"2013-11-11","2,665.147"
DSL,"2013-12-11","2,669.031"
DSL,"2014-01-10","2,663.8"
DSL,"2014-02-09","2,664.294"
DSL,"2014-03-11","2,700.17"
DSL,"2014-04-10","2,637.9"
DSL,"2014-05-10","2,611.412"
DSL,"2014-06-09","2,624.744"
DSL,"2014-07-09","2,582.36"
DSL,"2014-08-08","2,497.799"
DSL,"2014-09-07","2,499.889"
DSL,"2014-10-07","2,453.14"
DSL,"2014-11-06","2,488.109"
DSL,"2014-12-06","2,546.785"
DSL,"2015-01-05","2,642.98"
DSL,"2015-02-04","2,625.92"
DSL,"2015-03-06","2,673.378"
DSL,"2015-04-05","2,639.907"
DSL,"2015-05-05","2,643.073"
DSL,"2015-06-04","2,672.45"
DSL,"2015-07-04","2,651.253"
DSL,"2015-08-03","2,579.39"
DSL,"2015-09-02","2,594.965"
DSL,"2015-10-02","2,539.444"
DSL,"2015-11-01","2,577.355"
DSL,"2015-12-01","2,570.854"
DSL,"2015-12-31","2,302.188"
DSL,"2016-01-30","2,337.047"
DSL,"2016-02-29","2,432.566"
DSL,"2016-03-30","2,402.233"
DSL,"2016-04-29","2,355.247"
DSL,"2016-05-29","2,313.061"
DSL,"2016-06-28","2,461.733"
DSL,"2016-07-28","2,522.831"
DSL,"2016-08-27","2,649.923"
DSL,"2016-09-26","2,658.864"
DSL,"2016-10-26","2,596.213"
DSL,"2016-11-25","2,549.766"
DSL,"2016-12-25","2,683.425"
DSL,"2017-01-24","2,678.431"
DSL,"2017-02-23","2,672.953"
DSL,"2017-03-25","2,689.933"
DSL,"2017-04-24","2,686.496"
DSL,"2017-05-24","2,686.359"
DSL,"2017-06-23","2,710.436"
DSL,"2017-07-23","2,728.536"
DSL,"2017-08-22","2,793.444"
DSL,"2017-09-21","2,786.841"
DSL,"2017-10-21","2,772.101"
DSL,"2017-11-20","2,738.225"
DSL,"2017-12-20","2,634.95"
DSL,"2018-01-19","2,699.003"
DSL,"2018-02-18","2,629.162"
DSL,"2018-03-20","2,605.49"
DSL,"2018-04-19","2,720.996"
DSL,"2018-05-19","2,729.651"
DSL,"2018-06-18","2,689.548"
DSL,"2018-07-18","2,492.448"
DSL,"2018-08-17","2,580.64"
DSL,"2018-09-16","2,605.581"
DSL,"2018-10-16","2,636.841"
DSL,"2018-11-15","2,618.76"
DSL,"2018-12-15","2,629.059"
DSL,"2019-01-14","2,582.98"
DSL,"2019-02-13","2,561.457"
DSL,"2019-03-15","2,576.959"
DSL,"2019-04-14","2,534.218"
DSL,"2019-05-14","2,463.87"
DSL,"2019-06-13","2,520.572"
DSL,"2019-07-13","2,549.792"
DSL,"2019-08-12","2,516.42"
DSL,"2019-09-11","2,544.741"
DSL,"2019-10-11","2,562.445"
DSL,"2019-11-10","2,520.443"
DSL,"2019-12-10","2,480.97"
DSL,"2020-01-09","2,380.286"
DSL,"2020-02-08","2,396.849"
DSL,"2020-03-09","2,368.878"
DSL,"2020-04-08","2,428.851"
DSL,"2020-05-08","2,376.569"
DSL,"2020-06-07","2,368.083"
DSL,"2020-07-07","2,391.276"
DSL,"2020-08-06","2,048.827"
DSL,"2020-10-05","2,497.647"
DSL,"2020-11-04","2,536.377"
DSL,"2020-12-04","2,567.872"
DSL,"2021-01-03","2,506.534"
DSL,"2021-02-02","2,516.125"
DSL,"2021-03-04","2,453.588"
DSL,"2021-04-03","2,437.125"
DSL,"2021-05-03","1,966.907"
DSL,"2021-06-02","1,998.703"
DSL,"2021-07-02","2,081.356"
DSL,"2021-08-01","2,058.133"
DSL,"2021-08-31","1,995.191"
DSL,"2021-09-30","1,990.589"
DSL,"2021-10-30","1,884.514"
DSL,"2021-11-29","1,808.236"
DSL,"2021-12-29","1,765.07"
DSL,"2022-01-28","1,726.671"
DSL,"2022-02-27","1,779.455"
DSL,"2022-03-29","1,804.879"
DSL,"2022-04-28","1,828.274"
DSL,"2022-05-28","1,833.113"
DSL,"2022-06-27","1,868.153"
DSL,"2022-07-27","1,886.737"
DSL,"2022-08-26","1,907.264"
DSL,"2022-10-25","1,783.506"
DSL,"2022-11-24","1,771.839"
DSL,"2022-12-24","1,769.037"
DSL,"2023-01-23","1,778.807"
DSL,"2023-02-22","1,805.896"
DSL,"2023-03-24","1,812.085"
Fiber,"2011-12-22","851.165"
Fiber,"2012-01-21","1,197.698"
Fiber,"2012-02-20","1,511.681"
