"Top 3 values of operator_technology","dtime per 30 days","Latency"
DSL,"2012-10-17","2,948.617"
DSL,"2012-11-16","2,951.483"
DSL,"2012-12-16","2,953.378"
DSL,"2013-01-15","2,974.71"
DSL,"2013-02-14","2,973.639"
DSL,"2013-03-16","2,972.713"
DSL,"2013-04-15","2,970.869"
DSL,"2013-05-15","2,969.824"
DSL,"2013-06-14","2,970.656"
DSL,"2013-07-14","2,970.782"
DSL,"2013-08-13","2,970.199"
DSL,"2013-09-12","2,975.074"
DSL,"2013-10-12","2,976.054"
DSL,"2013-11-11","2,976.853"
DSL,"2013-12-11","2,977.575"
DSL,"2014-01-10","2,976.08"
DSL,"2014-02-09","2,977.1"
DSL,"2014-03-11","2,974.028"
DSL,"2014-04-10","2,975.19"
DSL,"2014-05-10","2,975.052"
DSL,"2014-06-09","2,974.663"
DSL,"2014-07-09","2,968.566"
DSL,"2014-08-08","2,955.974"
DSL,"2014-09-07","2,954.912"
DSL,"2014-10-07","2,952.01"
DSL,"2014-11-06","2,949.257"
DSL,"2014-12-06","2,948.653"
DSL,"2015-01-05","2,962.054"
DSL,"2015-02-04","2,963.377"
DSL,"2015-03-06","2,968.822"
DSL,"2015-04-05","2,970.164"
DSL,"2015-05-05","2,965.305"
DSL,"2015-06-04","2,962.626"
DSL,"2015-07-04","2,963.623"
DSL,"2015-08-03","2,965.963"
DSL,"2015-09-02","2,963.619"
DSL,"2015-10-02","2,959.347"
DSL,"2015-11-01","2,961.076"
DSL,"2015-12-01","2,960.904"
DSL,"2015-12-31","2,930.667"
DSL,"2016-01-30","2,937.296"
DSL,"2016-02-29","2,921.898"
DSL,"2016-03-30","2,930.095"
DSL,"2016-04-29","2,943.041"
DSL,"2016-05-29","2,939.119"
DSL,"2016-07-28","2,925.597"
DSL,"2016-08-27","2,874.043"
DSL,"2016-09-26","2,872.816"
DSL,"2016-10-26","2,881.989"
DSL,"2016-11-25","2,891.147"
DSL,"2016-12-25","2,912.805"
DSL,"2017-01-24","2,923.104"
DSL,"2017-02-23","2,916.123"
DSL,"2017-03-25","2,922.853"
DSL,"2017-04-24","2,923.511"
DSL,"2017-05-24","2,918.64"
DSL,"2017-06-23","2,912.034"
DSL,"2017-07-23","2,908.386"
DSL,"2017-08-22","2,899.203"
DSL,"2017-09-21","2,881.697"
DSL,"2017-10-21","2,875.936"
DSL,"2017-11-20","2,886.394"
DSL,"2017-12-20","2,886.06"
DSL,"2018-01-19","2,883.162"
DSL,"2018-02-18","2,874.147"
DSL,"2018-03-20","2,891.259"
DSL,"2018-04-19","2,905.372"
DSL,"2018-05-19","2,904.088"
DSL,"2018-06-18","2,919.33"
DSL,"2018-07-18","2,965.91"
DSL,"2018-08-17","2,964.497"
DSL,"2018-09-16","2,953.319"
DSL,"2018-10-16","2,949.779"
DSL,"2018-11-15","2,947.072"
DSL,"2018-12-15","2,948.333"
DSL,"2019-01-14","2,941.853"
DSL,"2019-02-13","2,922.584"
DSL,"2019-03-15","2,915.555"
DSL,"2019-04-14","2,917.87"
DSL,"2019-05-14","2,939.846"
DSL,"2019-06-13","2,926.327"
DSL,"2019-07-13","2,930.212"
DSL,"2019-08-12","2,915.688"
DSL,"2019-09-11","2,908.661"
DSL,"2019-10-11","2,895.079"
DSL,"2019-11-10","2,887.925"
DSL,"2019-12-10","2,887.553"
DSL,"2020-01-09","2,889.726"
DSL,"2020-02-08","2,914.84"
DSL,"2020-03-09","2,917.268"
DSL,"2020-04-08","2,909.943"
DSL,"2020-05-08","2,897.331"
DSL,"2020-06-07","2,914.453"
DSL,"2020-07-07","2,929.44"
DSL,"2020-08-06","2,868.095"
DSL,"2020-10-05","2,810.127"
DSL,"2020-11-04","2,823.367"
DSL,"2020-12-04","2,812.078"
DSL,"2021-01-03","2,847.592"
DSL,"2021-02-02","2,861.474"
DSL,"2021-03-04","2,839.856"
DSL,"2021-04-03","2,844.631"
DSL,"2021-05-03","2,870.601"
DSL,"2021-06-02","2,883.447"
DSL,"2021-07-02","2,858.431"
DSL,"2021-08-01","2,875.634"
DSL,"2021-08-31","2,894.22"
DSL,"2021-09-30","2,875.843"
DSL,"2021-10-30","2,882.899"
DSL,"2021-11-29","2,880.862"
DSL,"2021-12-29","2,866.039"
DSL,"2022-01-28","2,847.977"
DSL,"2022-02-27","2,854.152"
DSL,"2022-03-29","2,835.01"
DSL,"2022-04-28","2,818.255"
DSL,"2022-05-28","2,821.368"
DSL,"2022-06-27","2,826.362"
DSL,"2022-07-27","2,830.846"
DSL,"2022-08-26","2,818.71"
DSL,"2022-10-25","2,800.63"
DSL,"2022-11-24","2,775.358"
DSL,"2022-12-24","2,812.365"
DSL,"2023-01-23","2,788.268"
DSL,"2023-02-22","2,781.568"
DSL,"2023-03-24","2,512.268"
Fiber,"2011-12-22","1,541.23"
Fiber,"2012-01-21","1,677.562"
Fiber,"2012-02-20","1,896.713"
Fiber,"2012-03-21","1,860.098"
Fiber,"2012-04-20","1,719.397"
Fiber,"2012-05-20","1,879.849"
Fiber,"2012-06-19","1,650.723"
Fiber,"2012-07-19","1,843.146"
Fiber,"2012-08-18","1,771.087"
Fiber,"2012-09-17","1,653.395"
Fiber,"2012-10-17","1,730.049"
Fiber,"2012-11-16","1,676.195"
Fiber,"2012-12-16","1,831.258"
Fiber,"2013-01-15","1,984.69"
Fiber,"2013-02-14","1,952.789"
Fiber,"2013-03-16","1,990.519"
Fiber,"2013-04-15","2,027.932"
Fiber,"2013-05-15","1,899.804"
Fiber,"2013-06-14","1,828.736"
Fiber,"2013-07-14","1,944.283"
Fiber,"2013-08-13","1,892.99"
Fiber,"2013-09-12","1,755.062"
Fiber,"2013-10-12","1,910.978"
Fiber,"2013-11-11","1,968.065"
Fiber,"2013-12-11","1,745.232"
Fiber,"2014-01-10","1,323.287"
Fiber,"2014-02-09","1,710.961"
Fiber,"2014-03-11","1,817.431"
Fiber,"2014-04-10","1,967.475"
Fiber,"2014-05-10","1,832.746"
Fiber,"2014-06-09","1,731.861"
Fiber,"2014-07-09","1,591.141"
Fiber,"2014-08-08","1,302.176"
Fiber,"2014-09-07","1,219.726"
Fiber,"2014-10-07","1,168.425"
Fiber,"2014-11-06","1,325.508"
Fiber,"2014-12-06","1,380.778"
Fiber,"2015-01-05","1,058.586"
Fiber,"2015-02-04","1,227.505"
Fiber,"2015-03-06","1,104.928"
Fiber,"2015-04-05","1,114.972"
Fiber,"2015-05-05","1,066.157"
Fiber,"2015-06-04","1,074.555"
Fiber,"2015-07-04","996.558"
Fiber,"2015-08-03","983.517"
Fiber,"2015-09-02","926.191"
Fiber,"2015-10-02","1,034.728"
Fiber,"2015-11-01","1,112.604"
Fiber,"2015-12-01","1,100.796"
Fiber,"2015-12-31","1,982.755"
Fiber,"2016-01-30","1,555.369"
Fiber,"2016-02-29","1,363.891"
Fiber,"2016-03-30","1,580.096"
Fiber,"2016-04-29","1,583.024"
Fiber,"2016-05-29","1,476.195"
Fiber,"2016-07-28","1,127.879"
Fiber,"2016-08-27","1,209.737"
Fiber,"2016-09-26","1,238.982"
Fiber,"2016-10-26","1,135.454"
Fiber,"2016-11-25","1,136.867"
Fiber,"2016-12-25","1,287.548"
Fiber,"2017-01-24","1,506.754"
Fiber,"2017-02-23","1,596.219"
Fiber,"2017-03-25","1,846.989"
Fiber,"2017-04-24","1,718.182"
Fiber,"2017-05-24","1,671.254"
Fiber,"2017-06-23","1,742.928"
Fiber,"2017-07-23","1,445.839"
Fiber,"2017-08-22","1,178.111"
Fiber,"2017-09-21","1,149.516"
Fiber,"2017-10-21","1,154.421"
Fiber,"2017-11-20","1,150.926"
Fiber,"2017-12-20","1,168.262"
Fiber,"2018-01-19","1,156.136"
Fiber,"2018-02-18","1,098.642"
Fiber,"2018-03-20","1,074.459"
Fiber,"2018-04-19","1,094.992"
Fiber,"2018-05-19","1,119.628"
Fiber,"2018-06-18","1,116.012"
Fiber,"2018-07-18","1,110.544"
Fiber,"2018-08-17","1,105.099"
Fiber,"2018-09-16","1,101.355"
Fiber,"2018-10-16","1,103.692"
Fiber,"2018-11-15","1,069.33"
Fiber,"2018-12-15","1,069.024"
