"Top 3 values of operator_technology","dtime per 30 days","Median Latency (ms)"
Cable,"2010-12-27",null
Cable,"2011-01-26","73.676"
Cable,"2011-02-25","60.108"
Cable,"2011-03-27","53.479"
Cable,"2011-04-26","55.167"
Cable,"2011-05-26","61.521"
Cable,"2011-06-25","58.325"
Cable,"2011-07-25","55.466"
Cable,"2011-08-24","56.439"
Cable,"2011-09-23","68.288"
Cable,"2011-10-23","77.672"
Cable,"2011-11-22","75.66"
Cable,"2011-12-22","81.523"
Cable,"2012-01-21","94.672"
Cable,"2012-02-20","87.382"
Cable,"2012-03-21","84.069"
Cable,"2012-04-20","74.898"
Cable,"2012-05-20","74.374"
Cable,"2012-06-19","80.838"
Cable,"2012-07-19","72.928"
Cable,"2012-08-18","73.089"
Cable,"2012-09-17","74.761"
Cable,"2012-10-17","69.881"
Cable,"2012-11-16","73.25"
Cable,"2012-12-16","70.879"
Cable,"2013-01-15","82.961"
Cable,"2013-02-14","85.141"
Cable,"2013-03-16","78.234"
Cable,"2013-04-15","72.723"
Cable,"2013-05-15","74.914"
Cable,"2013-06-14","70.75"
Cable,"2013-07-14","68.125"
Cable,"2013-08-13","72.192"
Cable,"2013-09-12","61.032"
Cable,"2013-10-12","64.667"
Cable,"2013-11-11","67.916"
Cable,"2013-12-11","66.715"
Cable,"2014-01-10",70
Cable,"2014-02-09","70.316"
Cable,"2014-03-11","74.96"
Cable,"2014-04-10","74.043"
Cable,"2014-05-10","81.666"
Cable,"2014-06-09","83.646"
Cable,"2014-07-09","82.844"
Cable,"2014-08-08","88.063"
Cable,"2014-09-07","91.981"
Cable,"2014-10-07","96.288"
Cable,"2014-11-06","108.169"
Cable,"2014-12-06","105.842"
Cable,"2015-01-05","104.324"
Cable,"2015-02-04","101.24"
Cable,"2015-03-06","95.742"
Cable,"2015-04-05","93.556"
Cable,"2015-05-05","90.868"
Cable,"2015-06-04","92.998"
Cable,"2015-07-04","85.538"
Cable,"2015-08-03","90.191"
Cable,"2015-09-02","85.037"
Cable,"2015-10-02","84.863"
Cable,"2015-11-01","86.382"
Cable,"2015-12-01","87.565"
Cable,"2015-12-31","82.68"
Cable,"2016-01-30","84.218"
Cable,"2016-02-29","79.438"
Cable,"2016-03-30","79.488"
Cable,"2016-04-29","83.351"
Cable,"2016-05-29","78.305"
Cable,"2016-06-28","78.274"
Cable,"2016-07-28","93.263"
Cable,"2016-08-27","125.416"
Cable,"2016-09-26","110.202"
Cable,"2016-10-26","107.371"
Cable,"2016-11-25","100.722"
Cable,"2016-12-25","93.516"
Cable,"2017-01-24","93.582"
Cable,"2017-02-23","102.701"
Cable,"2017-03-25","93.013"
Cable,"2017-04-24","95.811"
Cable,"2017-05-24","92.447"
Cable,"2017-06-23","97.294"
Cable,"2017-07-23","82.296"
Cable,"2017-08-22","84.712"
Cable,"2017-09-21","83.947"
Cable,"2017-10-21","75.234"
Cable,"2017-11-20","76.362"
Cable,"2017-12-20","76.546"
Cable,"2018-01-19","68.99"
Cable,"2018-02-18","71.518"
Cable,"2018-03-20","68.057"
Cable,"2018-04-19","66.275"
Cable,"2018-05-19","68.401"
Cable,"2018-06-18","65.702"
Cable,"2018-07-18","65.144"
Cable,"2018-08-17","53.874"
Cable,"2018-09-16","52.633"
Cable,"2018-10-16","53.189"
Cable,"2018-11-15","52.02"
Cable,"2018-12-15","49.229"
Cable,"2019-01-14","51.249"
Cable,"2019-02-13","55.186"
