"dtime per 30 days","Idle Latency"
"2010-12-27",null
"2011-01-26","26.253"
"2011-02-25","25.709"
"2011-03-27","25.333"
"2011-04-26","25.218"
"2011-05-26","24.993"
"2011-06-25","24.984"
"2011-07-25","25.885"
"2011-08-24","26.123"
"2011-09-23","25.538"
"2011-10-23","25.917"
"2011-11-22","26.485"
"2011-12-22","27.392"
"2012-01-21","27.418"
"2012-02-20","28.902"
"2012-03-21","26.337"
"2012-04-20","24.872"
"2012-05-20","25.136"
"2012-06-19","25.857"
"2012-07-19","25.026"
"2012-08-18","24.608"
"2012-09-17","24.987"
"2012-10-17","24.89"
"2012-11-16","25.539"
"2012-12-16","27.268"
"2013-01-15","28.455"
"2013-02-14","28.987"
"2013-03-16","30.379"
"2013-04-15","30.216"
"2013-05-15","30.611"
"2013-06-14","30.088"
"2013-07-14","30.586"
"2013-08-13","29.006"
"2013-09-12","28.662"
"2013-10-12","28.243"
"2013-11-11","29.052"
"2013-12-11","30.337"
"2014-01-10","30.41"
"2014-02-09","29.631"
"2014-03-11","27.937"
"2014-04-10","27.102"
"2014-05-10","26.488"
"2014-06-09","26.044"
"2014-07-09","24.974"
"2014-08-08","23.706"
"2014-09-07","24.012"
"2014-10-07","23.96"
"2014-11-06","23.887"
"2014-12-06","23.902"
"2015-01-05","23.577"
"2015-02-04","23.708"
"2015-03-06","23.809"
"2015-04-05","23.441"
"2015-05-05","23.287"
"2015-06-04","23.165"
"2015-07-04","22.24"
"2015-08-03","22.339"
"2015-09-02","22.187"
"2015-10-02","22.392"
"2015-11-01","22.52"
"2015-12-01","22.695"
"2015-12-31","24.046"
"2016-01-30","23.806"
"2016-02-29","23.623"
"2016-03-30","23.486"
"2016-04-29","23.455"
"2016-05-29","23.326"
"2016-06-28","23.134"
"2016-07-28","23.578"
"2016-08-27","23.394"
"2016-09-26","23.667"
"2016-10-26","24.132"
"2016-11-25","25.093"
"2016-12-25","23.64"
"2017-01-24","23.612"
"2017-02-23","23.406"
"2017-03-25","23.972"
"2017-04-24","23.876"
"2017-05-24","23.532"
"2017-06-23","24.189"
"2017-07-23","23.939"
"2017-08-22","23.015"
"2017-09-21","22.726"
"2017-10-21","22.85"
"2017-11-20","22.771"
"2017-12-20","23.635"
"2018-01-19","23.579"
"2018-02-18","23.556"
"2018-03-20","21.85"
"2018-04-19","21.939"
"2018-05-19","21.673"
"2018-06-18","21.004"
"2018-07-18","19.38"
"2018-08-17","18.896"
"2018-09-16","19.262"
"2018-10-16","19.215"
"2018-11-15","19.656"
"2018-12-15","20.181"
"2019-01-14","20.43"
"2019-02-13","20.741"
"2019-03-15","19.747"
"2019-04-14","19.175"
"2019-05-14","19.571"
"2019-06-13","19.417"
"2019-07-13","18.393"
"2019-08-12","18.599"
"2019-09-11","18.796"
"2019-10-11","18.59"
"2019-11-10","20.724"
"2019-12-10","22.604"
"2020-01-09","22.7"
"2020-02-08","23.144"
"2020-03-09","23.624"
"2020-04-08","23.365"
"2020-05-08","23.426"
"2020-06-07","23.012"
"2020-07-07","22.508"
"2020-08-06","18.514"
"2020-09-05",null
"2020-10-05","20.275"
"2020-11-04","20.325"
"2020-12-04","20.316"
"2021-01-03","18.914"
"2021-02-02","18.602"
"2021-03-04","18.233"
"2021-04-03","18.283"
"2021-05-03","17.645"
"2021-06-02","17.542"
"2021-07-02","17.249"
"2021-08-01","16.727"
"2021-08-31","16.579"
"2021-09-30","16.469"
"2021-10-30","16.361"
"2021-11-29","16.314"
"2021-12-29","16.373"
"2022-01-28","16.524"
"2022-02-27","16.453"
"2022-03-29","16.305"
"2022-04-28","16.444"
"2022-05-28","16.48"
"2022-06-27","16.314"
"2022-07-27","16.237"
"2022-08-26","16.243"
"2022-09-25",null
"2022-10-25","16.827"
"2022-11-24","16.819"
"2022-12-24","16.699"
"2023-01-23","16.514"
"2023-02-22","16.251"
"2023-03-24","16.306"
"2023-04-23","16.109"
"2023-05-23","17.504"
"2023-06-22","17.172"
"2023-07-22","16.708"
