"Top 3 values of operator_technology","time per 30 days","Latency"
DSL,"2012-12-16","1,684.176"
DSL,"2013-01-15","1,745.226"
DSL,"2013-02-14","1,741.602"
DSL,"2013-03-16","1,783.604"
DSL,"2013-04-15","1,829.879"
DSL,"2013-05-15","1,829.314"
DSL,"2013-06-14","1,812.815"
DSL,"2013-07-14","1,844.401"
DSL,"2013-08-13","1,866.913"
DSL,"2013-09-12","1,768.775"
DSL,"2013-10-12","1,732.079"
DSL,"2013-11-11","1,686.987"
DSL,"2013-12-11","1,654.504"
DSL,"2014-01-10","1,706.602"
DSL,"2014-02-09","1,657.615"
DSL,"2014-03-11","1,659.208"
DSL,"2014-04-10","1,641.852"
DSL,"2014-05-10","1,661.763"
DSL,"2014-06-09","1,704.866"
DSL,"2014-07-09","1,666.54"
DSL,"2014-08-08","1,560.129"
DSL,"2014-09-07","1,497.529"
DSL,"2014-10-07","1,414.901"
DSL,"2014-11-06","1,444.06"
DSL,"2014-12-06","1,466.761"
DSL,"2015-01-05","1,665.59"
DSL,"2015-02-04","1,653.599"
DSL,"2015-03-06","1,716.763"
DSL,"2015-04-05","1,662.852"
DSL,"2015-05-05","1,625.775"
DSL,"2015-06-04","1,587.152"
DSL,"2015-07-04","1,596.357"
DSL,"2015-08-03","1,563.654"
DSL,"2015-09-02","1,554.818"
DSL,"2015-10-02","1,485.284"
DSL,"2015-11-01","1,486.653"
DSL,"2015-12-01","1,498.178"
DSL,"2015-12-31","1,120.462"
DSL,"2016-01-30","1,111.171"
DSL,"2016-02-29","1,149.424"
DSL,"2016-03-30","1,133.494"
DSL,"2016-04-29","1,117.416"
DSL,"2016-05-29","1,121.331"
DSL,"2016-06-28","1,236.888"
DSL,"2016-07-28","1,294.179"
DSL,"2016-08-27","1,407.344"
DSL,"2016-09-26","1,372.935"
DSL,"2016-10-26","1,310.004"
DSL,"2016-11-25","1,302.198"
DSL,"2016-12-25","1,581.718"
DSL,"2017-01-24","1,618.79"
DSL,"2017-02-23","1,625.584"
DSL,"2017-03-25","1,611.252"
DSL,"2017-04-24","1,625.793"
DSL,"2017-05-24","1,639.569"
DSL,"2017-06-23","1,636.747"
DSL,"2017-07-23","1,636.991"
DSL,"2017-08-22","1,648.235"
DSL,"2017-09-21","1,563.686"
DSL,"2017-10-21","1,561.291"
