"dtime_local per 10 minutes","Average of rtt_max"
1688342400000,
1688343000000,36.911664570230606
1688343600000,35.76528640276236
1688344200000,35.53486343274536
1688344800000,34.826881646581185
1688345400000,34.227580616503246
1688346000000,33.857120642741165
1688346600000,33.95066645121068
1688347200000,33.910136752792965
1688347800000,33.94126230596362
1688348400000,33.55961007350332
1688349000000,32.864866620681944
1688349600000,32.55095819796637
1688350200000,32.34411264617422
1688350800000,32.293565949880694
1688351400000,32.39704602665846
1688352000000,32.09407907841668
1688352600000,31.613845908547926
1688353200000,31.33526510167173
1688353800000,31.168284996648676
1688354400000,31.32263522531673
1688355000000,31.50679185431968
1688355600000,31.289157958178745
1688356200000,30.9149855133203
1688356800000,30.95565649125273
1688357400000,31.002003446580655
1688358000000,31.36368311334773
1688358600000,31.57892642900981
1688359200000,31.58421637901941
1688359800000,31.375028934997175
1688360400000,31.19138639973534
1688361000000,31.238875258266244
1688361600000,31.624116853593346
1688362200000,31.846615600972797
1688362800000,31.667169518883245
1688363400000,31.293329785612006
1688364000000,31.08284197572159
1688364600000,31.02283614532133
1688365200000,31.17878302884451
1688365800000,31.285141806585607
1688366400000,31.473697753419703
1688367000000,31.252794358920596
1688367600000,31.176403964514314
1688368200000,31.40567392682587
1688368800000,31.781817453554037
1688369400000,31.94313483464588
1688370000000,32.029292993072744
1688370600000,32.08099597604832
1688371200000,32.13387636329638
1688371800000,32.332295066784674
1688372400000,32.72986020894454
1688373000000,33.20602708575815
1688373600000,33.024756660320065
1688374200000,32.926776448779314
1688374800000,32.86963922177176
1688375400000,33.29838582665254
1688376000000,33.59130112352171
1688376600000,33.8549504384447
1688377200000,33.65760609675482
1688377800000,33.49391652577707
1688378400000,33.168028828492545
1688379000000,33.07115911478559
1688379600000,33.218545574498
1688380200000,33.28737803286845
1688380800000,33.317714607899916
1688381400000,32.96310829106059
1688382000000,33.03898045390329
1688382600000,33.20647051379153
1688383200000,33.60885520328371
1688383800000,33.91010483561115
1688384400000,34.03913934438119
1688385000000,33.811966049555345
1688385600000,34.021509838174524
1688386200000,34.1240999302565
1688386800000,34.027067530517016
1688387400000,34.23909523608988
1688388000000,34.08213669132916
1688388600000,33.64415115110439
1688389200000,33.317821836929696
1688389800000,33.11084522081063
1688390400000,33.2179753991069
1688391000000,33.53059867317299
1688391600000,33.32021050832213
1688392200000,33.112278332349376
1688392800000,33.31449793278621
1688393400000,33.47104836284744
1688394000000,33.81036161074881
1688394600000,34.24532018939882
1688395200000,34.47533908478509
1688395800000,34.55740667132621
1688396400000,34.805220129663745
1688397000000,34.83755195787702
1688397600000,35.22593480426904
1688398200000,35.6133193987086
1688398800000,35.41007377397075
1688399400000,35.197385546189146
1688400000000,34.93606476834863
1688400600000,35.125344964481094
1688401200000,35.52150044105803
1688401800000,35.59951187718524
1688402400000,35.244731578762256
1688403000000,35.0516210987519
1688403600000,34.83957589949727
1688404200000,34.88679325956707
1688404800000,35.2384583071136
1688405400000,35.283659736046815
1688406000000,35.296957011207276
1688406600000,34.81876811263972
1688407200000,34.452255727048524
1688407800000,34.751834803132745
1688408400000,35.5132603572984
1688409000000,35.673829822947255
1688409600000,35.5241256097747
1688410200000,35.129029304126526
1688410800000,34.865546871787636
1688411400000,35.227101646696774
1688412000000,36.036066019409425
1688412600000,36.188757935874165
1688413200000,36.32244079722736
1688413800000,36.01365988153375
1688414400000,35.39722845336486
1688415000000,35.59482587029664
1688415600000,36.509378552203636
1688416200000,36.648403988783784
1688416800000,36.78810729375451
1688417400000,36.72746869672096
1688418000000,36.06065056372696
1688418600000,36.386480557842276
1688419200000,36.89140785084294
1688419800000,37.153234195312905
1688420400000,37.133564534432416
1688421000000,37.245331202589284
1688421600000,36.79238064200001
1688422200000,37.182888493808186
1688422800000,37.711749156979266
1688423400000,37.639560856232876
1688424000000,37.776321486842576
1688424600000,37.58014613331827
1688425200000,37.0584629580363
1688425800000,37.0891797425552
1688426400000,37.534989137089624
1688427000000,37.23024411694593
1688427600000,37.253562641813986
1688428200000,36.86581457475472
1688428800000,36.26879032314038
1688429400000,36.1800774023353
1688430000000,36.159184344062915
1688430600000,35.834129296849014
1688431200000,35.82619761653357
1688431800000,35.420463453938154
1688432400000,34.82717034601859
1688433000000,34.821716996111434
1688433600000,34.75632668480729
1688434200000,34.37066762819365
1688434800000,34.1705774902952
1688435400000,33.84458584255054
1688436000000,33.44531479853544
1688436600000,33.42390323878401
1688437200000,33.19489126835742
1688437800000,32.863638138076475
1688438400000,32.58070269140688
1688439000000,32.00620477273634
1688439600000,31.56534402130841
1688440200000,31.731601055958723
1688440800000,31.763530909745537
1688441400000,31.54362038768413
1688442000000,31.43940603616053
1688442600000,31.123232549450506
1688443200000,30.825888576389765
1688443800000,30.931385076871297
1688444400000,31.201340841577178
1688445000000,31.325429451234267
1688445600000,31.067652481492882
1688446200000,30.92473402419055
1688446800000,30.61439774877937
1688447400000,30.642514050086923
