Unit ID,ISP,Download,Upload,Technology,State,Region,Days,timezone_offset,timezone_offset_dst
6722,Cox,15,2,CABLE,AZ,WEST,30,-7,-7
6723,Cox,22,5,CABLE,AZ,WEST,30,-7,-7
6724,Comcast,6,1,CABLE,CO,WEST,17,-7,-6
6725,Cox,15,2,CABLE,AZ,WEST,30,-7,-7
6727,Comcast,22,5,CABLE,WA,WEST,30,-8,-7
6730,Comcast,15,2,CABLE,FL,SOUTH,30,-5,-4
6732,Verizon,35,35,FIBER,MA,NORTHEAST,30,-5,-4
6733,Comcast,25,4,CABLE,CA,WEST,30,-8,-7
6734,Cox,22,5,CABLE,AZ,WEST,26,-7,-7
6736,Frontier,25,25,FIBER,OR,WEST,30,-8,-7
6737,Comcast,50,10,CABLE,pa,NORTHEAST,30,-5,-4
6738,Comcast,15,2,CABLE,WA,WEST,30,-8,-7
6739,Comcast,15,2,CABLE,MI,MIDWEST,30,-6,-5
6740,Comcast,15,2,CABLE,MA,NORTHEAST,29,-5,-4
6741,Comcast,15,2,CABLE,MN,MIDWEST,9,-6,-5
6743,TimeWarner,10,1,CABLE,oh,MIDWEST,30,-5,-4
6744,Verizon DSL,7,0.768,DSL,PA,NORTHEAST,23,-5,-4
6745,AT&T,12,1.5,DSL,FL,SOUTH,30,-5,-4
6746,Mediacom,12,1,CABLE,IA,MIDWEST,30,-6,-5
6747,Frontier,15,5,FIBER,OR,WEST,30,-8,-7
6748,AT&T,6,1,DSL,CA,WEST,20,-8,-7
6749,Comcast,15,2,CABLE,MD,SOUTH,30,-5,-4
6750,Cox,22,5,CABLE,AZ,WEST,24,-7,-7
6751,AT&T,18,1.5,DSL,TX,SOUTH,29,-6,-5
6752,Verizon,50,25,FIBER,FL,SOUTH,30,-5,-4
6753,CenturyLink,10,0.768,DSL,in,MIDWEST,30,-5,-5
6754,Cox,22,5,CABLE,AZ,WEST,30,-7,-7
6755,TimeWarner,30,5,CABLE,NC,SOUTH,1,-5,-4
6756,AT&T,24,3,DSL,TX,SOUTH,28,-6,-5
6759,Qwest,5,0.896,DSL,SD,MIDWEST,30,-6,-5
6760,Comcast,50,10,CABLE,MA,NORTHEAST,30,-5,-4
6761,TimeWarner,10,1,CABLE,ME,NORTHEAST,30,-5,-4
6764,Comcast,15,2,CABLE,IL,MIDWEST,30,-6,-5
6765,Cox,3,0.768,CABLE,AZ,WEST,30,-7,-7
6770,AT&T,1.5,1,DSL,IL,MIDWEST,30,-6,-5
6771,Comcast,15,2,CABLE,CO,WEST,30,-7,-6
6772,Verizon,15,5,FIBER,MD,SOUTH,27,-5,-4
6774,Mediacom,20,2,CABLE,IL,MIDWEST,2,-6,-5
6775,Comcast,15,2,CABLE,NJ,NORTHEAST,30,-5,-4
6776,TimeWarner,10,1,CABLE,OH,MIDWEST,30,-5,-4
6777,AT&T,3,0.512,DSL,Ga,SOUTH,30,-5,-4
6778,Charter,100,5,CABLE,IL,MIDWEST,8,-6,-5
6780,Qwest,1.5,0.896,DSL,AZ,WEST,30,-7,-7
6782,Comcast,25,4,CABLE,OR,WEST,30,-8,-7
6783,Cox,3,0.768,CABLE,AZ,WEST,30,-7,-7
6787,Comcast,25,4,CABLE,UT,WEST,30,-7,-6
6788,Comcast,15,2,CABLE,TX,SOUTH,30,-6,-5
6789,TimeWarner,10,1,CABLE,NY,NORTHEAST,30,-5,-4
6790,AT&T,6,0.768,DSL,CA,WEST,30,-8,-7
6792,TimeWarner,30,5,CABLE,TX,SOUTH,27,-6,-5
6793,TimeWarner,10,1,CABLE,TX,SOUTH,30,-6,-5
6794,AT&T,18,1.5,DSL,NC,SOUTH,30,-5,-4
6795,Comcast,15,2,CABLE,MI,MIDWEST,30,-5,-4
6796,Comcast,25,4,CABLE,MD,SOUTH,30,-5,-4
6797,Cox,18,2,CABLE,CA,WEST,27,-8,-7
6799,Comcast,15,2,CABLE,DC,SOUTH,30,-5,-4
6800,Comcast,15,2,CABLE,AZ,WEST,30,-7,-7
6801,Verizon,10,2,FIBER,NY,NORTHEAST,30,-5,-4
6808,Comcast,15,2,CABLE,CA,WEST,30,-8,-7
6810,Verizon,20,5,FIBER,pa,NORTHEAST,30,-5,-4
6811,AT&T,18,1.5,DSL,MO,MIDWEST,30,-6,-5
6813,Comcast,3,0.768,CABLE,MI,MIDWEST,30,-5,-4
6814,Verizon,25,25,FIBER,CA,WEST,30,-8,-7
6816,Cox,15,2,CABLE,AZ,WEST,30,-7,-7
6817,AT&T,6,1,DSL,TX,SOUTH,29,-6,-5
6818,Comcast,15,2,CABLE,WA,WEST,30,-8,-7
6820,Comcast,15,2,CABLE,MN,MIDWEST,30,-6,-5
6824,Verizon,75,35,FIBER,MD,SOUTH,30,-5,-4
6827,Comcast,15,2,CABLE,WA,WEST,30,-8,-7
6828,Comcast,30,8,CABLE,MD,SOUTH,30,-5,-4
6829,Cablevision,15,2,CABLE,NJ,NORTHEAST,30,-5,-4
6831,TimeWarner,20,2,CABLE,fl,SOUTH,8,-5,-4
6832,TimeWarner,10,1,CABLE,Tx,SOUTH,26,-6,-5
6833,TimeWarner,15,2,CABLE,Ca,WEST,30,-8,-7
6834,Qwest,20,0.896,DSL,WA,WEST,30,-8,-7
6836,Cox,12,2,CABLE,OK,SOUTH,30,-6,-5
6838,TimeWarner,10,1,CABLE,NC,SOUTH,26,-5,-4
6840,TimeWarner,10,1,CABLE,SC,SOUTH,23,-5,-4
6843,Comcast,15,2,CABLE,TN,SOUTH,30,-5,-4
6844,Cox,15,2,CABLE,NV,WEST,30,-8,-7
6845,Comcast,10,2,CABLE,WA,WEST,30,-8,-7
6846,Verizon,50,25,FIBER,VA,SOUTH,30,-5,-4
6851,Comcast,15,2,CABLE,IL,MIDWEST,30,-6,-5
6854,AT&T,6,0.768,DSL,SC,SOUTH,30,-5,-4
6857,Verizon,25,25,FIBER,CA,WEST,30,-8,-7
6860,Comcast,15,2,CABLE,NJ,NORTHEAST,30,-5,-4
6861,TimeWarner,20,2,CABLE,NH,NORTHEAST,17,-5,-4
6864,Comcast,15,2,CABLE,ga,SOUTH,23,-5,-4
6865,Cablevision,15,2,CABLE,NY,NORTHEAST,5,-5,-4
6866,Comcast,15,2,CABLE,Mi,MIDWEST,30,-5,-4
6868,Verizon,15,5,FIBER,Ma,NORTHEAST,30,-5,-4
6870,Comcast,15,2,CABLE,MI,MIDWEST,30,-5,-4
6871,Comcast,15,2,CABLE,IL,MIDWEST,30,-6,-5
6873,Comcast,15,2,CABLE,PA,NORTHEAST,30,-5,-4
6875,TimeWarner,10,1,CABLE,CA,WEST,30,-8,-7
6876,Cox,15,2,CABLE,AZ,WEST,30,-7,-7
6877,Comcast,15,2,CABLE,NH,NORTHEAST,30,-5,-4
6880,TimeWarner,20,2,CABLE,TX,SOUTH,30,-6,-5
6882,Cox,25,2,CABLE,CA,WEST,30,-8,-7
6883,Comcast,15,2,CABLE,IL,MIDWEST,30,-6,-5
6885,Comcast,12,2,CABLE,CO,WEST,30,-7,-6
6886,TimeWarner,50,5,CABLE,CA,WEST,30,-8,-7
6887,Qwest,3,0.64,DSL,CO,WEST,30,-7,-6
6888,Verizon,10,2,FIBER,VA,SOUTH,30,-5,-4
6892,TimeWarner,10,1,CABLE,NY,NORTHEAST,26,-5,-4
6893,Charter,30,4,CABLE,WI,MIDWEST,17,-6,-5
6894,AT&T,3,0.768,DSL,KY,SOUTH,19,-5,-4
6897,CenturyLink,10,0.768,DSL,WA,WEST,30,-8,-7
6898,Cox,15,2,CABLE,ID,WEST,28,-7,-6
6903,TimeWarner,30,5,CABLE,OH,MIDWEST,30,-5,-4
6904,Cox,3,0.768,CABLE,AZ,WEST,30,-7,-7
6983,Qwest,12,0.896,DSL,WA,WEST,30,-8,-7
6989,Windstream,3,0.768,DSL,GA,SOUTH,30,-5,-4
6990,CenturyLink,5,0.768,DSL,OR,WEST,30,-8,-7
6991,Qwest,1.5,0.896,DSL,MN,MIDWEST,30,-6,-5
6992,AT&T,12,1.5,DSL,CA,WEST,30,-8,-7
