Unit ID,ISP,Download,Upload,Technology,State,Region,Days,timezone_offset,timezone_offset_dst
7329,Qwest,7,0.896,DSL,IA,MIDWEST,30,-6,-5
7331,Comcast,15,2,CABLE,GA,SOUTH,28,-5,-4
7332,TimeWarner,15,2,CABLE,CA,WEST,30,-8,-7
7334,AT&T,3,0.512,DSL,CT,NORTHEAST,30,-5,-4
7336,AT&T,6,0.768,DSL,GA,SOUTH,20,-5,-4
7338,TimeWarner,10,1,CABLE,CA,WEST,30,-8,-7
7340,AT&T,6,0.768,DSL,WI,MIDWEST,30,-6,-5
7341,Comcast,50,10,CABLE,NH,NORTHEAST,30,-5,-4
7344,Comcast,15,2,CABLE,IN,MIDWEST,29,-5,-5
7345,Cox,12,2,CABLE,OK,SOUTH,28,-6,-5
7346,Insight,10,1,CABLE,ky,SOUTH,30,-5,-4
7350,Qwest,7,0.896,DSL,AZ,WEST,30,-7,-7
7351,TimeWarner,50,5,CABLE,CA,WEST,28,-8,-7
7352,AT&T,12,1.5,DSL,CA,WEST,30,-8,-7
