Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,WB Model,Whitebox can support download speed,Whitebox can support upload speed
941940,CenturyLink,DSL,CO,West,-7 hr,-6 hr,40,,,5,AC1750v2,Yes,Yes
799324,CenturyLink,DSL,CO,West,-7 hr,-6 hr,40,,,5,WDR3600,Yes,Yes
11052,Charter,Cable,NY,Northeast,-5 hr,-4 hr,30,,,5,WNR3500L,Yes,Yes
10219,Charter,Cable,NY,Northeast,-5 hr,-4 hr,30,,,5,WNR3500L,Yes,Yes
6383,Charter,Cable,WI,Midwest,-6 hr,-5 hr,30,,,5,WNR3500L,Yes,Yes
10377,Charter,Cable,WI,Midwest,-6 hr,-5 hr,30,,,5,WNR3500L,Yes,Yes
10730,Charter,Cable,KY,South,-6 hr,-5 hr,30,,,5,WNR3500L,Yes,Yes
12238,Charter,Cable,OH,Midwest,-5 hr,-4 hr,30,,,5,WNR3500L,Yes,Yes
13457,Charter,Cable,OH,Midwest,-5 hr,-4 hr,30,,,5,WNR3500L,Yes,Yes
9316,Charter,Cable,OH,Midwest,-5 hr,-4 hr,30,,,5,WNR3500L,Yes,Yes
537,Charter,Cable,IL,Midwest,-6 hr,-5 hr,30,,,5,WNR3500L,Yes,Yes
998025,Hughes,Satellite,MO,Midwest,-6 hr,-5 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
235304,CenturyLink,DSL,AZ,West,-7 hr,-7 hr,40,,,5,WDR3600,Yes,Yes
29672,CenturyLink,DSL,AZ,West,-7 hr,-7 hr,40,,,5,WR1043ND,Yes,Yes
799326,CenturyLink,DSL,CO,West,-7 hr,-6 hr,40,,,5,WDR3600,Yes,Yes
215356,Mediacom,Cable,IA,Midwest,-6 hr,-5 hr,60,,,5,WR741NDv4,Yes,Yes
29647,CenturyLink,DSL,CO,West,-7 hr,-6 hr,40,,,5,WR1043ND,Yes,Yes
998345,Hughes,Satellite,MO,Midwest,-6 hr,-5 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
5195,Comcast,Cable,FL,South,-5 hr,-4 hr,75,,,10,WNR3500L,Yes,Yes
27742,Charter,Cable,KY,South,-5 hr,-4 hr,30,,,5,WR741ND,Yes,Yes
421800,Charter,Cable,NC,South,-5 hr,-4 hr,20,,,20,WR741NDv4,Yes,Yes
8883,Charter,Cable,IN,Midwest,-6 hr,-5 hr,30,,,5,WNR3500L,Yes,Yes
8075,CenturyLink,DSL,CO,West,-7 hr,-6 hr,40,,,5,WNR3500L,Yes,Yes
890468,Comcast,Cable,CO,West,-7 hr,-6 hr,105,,,10,AC1750v2,Yes,Yes
8776,CenturyLink,DSL,MN,Midwest,-6 hr,-5 hr,40,,,5,WNR3500L,Yes,Yes
12766,Optimum,Cable,NJ,Northeast,-5 hr,-4 hr,101,,,35,WNR3500L,Yes,Yes
27275,CenturyLink,DSL,ID,West,-7 hr,-6 hr,40,,,5,WR1043ND,Yes,Yes
5201,CenturyLink,DSL,PA,Northeast,-5 hr,-4 hr,40,,,20,WNR3500L,Yes,Yes
943242,Cincinnati Bell ,Fiber,OH,Midwest,-5 hr,-4 hr,50,,,10,AC1750v2,Yes,Yes
997993,Hughes,Satellite,KY,South,-5 hr,-4 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
8531,CenturyLink,DSL,UT,West,-7 hr,-6 hr,40,,,2,WNR3500L,Yes,Yes
615032,CenturyLink,DSL,OR,West,-8 hr,-7 hr,40,,,5,WR741NDv4,Yes,Yes
210440,CenturyLink,DSL,UT,West,-7 hr,-6 hr,40,,,5,WR741NDv4,Yes,Yes
1009212,CenturyLink,DSL,WI,Midwest,-6 hr,-5 hr,40,,,5,SK Whitebox 8.0,Yes,Yes
6999,AT&T,IPBB,WI,Midwest,-6 hr,-5 hr,45,,,6,WNR3500L,Yes,Yes
1009312,CenturyLink,DSL,NC,South,-5 hr,-4 hr,40,,,5,SK Whitebox 8.0,Yes,Yes
5353,CenturyLink,DSL,WA,West,-8 hr,-7 hr,40,,,5,WNR3500L,Yes,Yes
797402,CenturyLink,DSL,CO,West,-7 hr,-6 hr,40,,,5,WDR3600,Yes,Yes
216012,CenturyLink,DSL,MN,Midwest,-6 hr,-5 hr,40,,,5,WDR3600,Yes,Yes
805714,CenturyLink,DSL,WA,West,-8 hr,-7 hr,40,,,5,WDR3600,Yes,Yes
