Unit ID,ISP,Technology,STATE,CENSUS,timezone_offset,timezone_offset_dst,Download,Upload
6420,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
6435,AT&T,REMOVE,CA,WEST,-8,-7,REMOVE,REMOVE
6440,AT&T,UVERSE,TX,SOUTH,-6,-5,12,1.5
6441,AT&T,DSL,TX,SOUTH,-6,-5,3,0.384
6453,AT&T,DSL,CA,WEST,-8,-7,6,0.512
6486,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
6488,AT&T,UVERSE,OH,MIDWEST,-5,-4,18,1.5
6489,AT&T,UVERSE,TN,SOUTH,-6,-5,6,1
6519,AT&T,UVERSE,IL,MIDWEST,-6,-5,75,7
6526,AT&T,UVERSE,GA,SOUTH,-5,-4,3,1
6576,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
6581,AT&T,UVERSE,MI,MIDWEST,-5,-4,24,3
6642,AT&T,REMOVE,FL,SOUTH,-5,-4,REMOVE,REMOVE
6660,AT&T,UVERSE,IL,MIDWEST,-6,-5,6,1
6751,AT&T,UVERSE,TX,SOUTH,-6,-5,24,3
6999,AT&T,REMOVE,WI,MIDWEST,-6,-5,REMOVE,REMOVE
7019,AT&T,UVERSE,TX,SOUTH,-6,-5,12,1.5
7063,AT&T,UVERSE,GA,SOUTH,-5,-4,12,1.5
7115,AT&T,UVERSE,TX,SOUTH,-6,-5,24,3
7179,AT&T,UVERSE,TX,SOUTH,-7,-6,6,1
7207,AT&T,UVERSE,OH,MIDWEST,-5,-4,18,1.5
7226,AT&T,UVERSE,IL,MIDWEST,-6,-5,6,0.768
7271,AT&T,UVERSE,MO,MIDWEST,-6,-5,45,6
7275,AT&T,DSL,AR,SOUTH,-6,-5,6,0.512
7283,AT&T,UVERSE,CT,NORTHEAST,-5,-4,24,3
7293,AT&T,UVERSE,CT,NORTHEAST,-6,-5,45,6
7340,AT&T,UVERSE,WI,MIDWEST,-6,-5,12,1
7397,AT&T,UVERSE,OH,MIDWEST,-5,-4,18,1.5
7416,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
7460,AT&T,UVERSE,IL,MIDWEST,-6,-5,18,1.5
7463,AT&T,UVERSE,CA,WEST,-8,-7,12,1.5
