Unit ID,ISP,STATUS,Download,Upload,timezone_offset,timezone_offset_dst,STATE,REGION,Technology
214604,AT&T,VALID DATA,1.5,0.384,-6,-5,TX,SOUTH,DSL
5333,AT&T,VALID DATA,1.5,0.384,-5,-4,OH,MIDWEST,DSL
7360,AT&T,VALID DATA,1.5,0.384,-6,-5,IL,MIDWEST,DSL
12090,AT&T,VALID DATA,3,0.384,-6,-5,IL,MIDWEST,DSL
11291,AT&T,VALID DATA,3,0.384,-6,-5,TX,SOUTH,DSL
215728,AT&T,VALID DATA,3,0.384,-8,-7,CA,WEST,DSL
26660,AT&T,VALID DATA,3,0.384,-5,-4,CT,NORTHEAST,DSL
13450,AT&T,VALID DATA,3,0.512,-8,-7,CA,WEST,DSL
9065,AT&T,VALID DATA,3,0.384,-6,-5,KS,MIDWEST,DSL
593,AT&T,VALID DATA,3,0.512,-6,-5,IN,MIDWEST,DSL
5308,AT&T,VALID DATA,3,0.384,-6,-5,IL,MIDWEST,DSL
1172,AT&T,VALID DATA,3,0.384,-6,-5,TN,SOUTH,DSL
7516,AT&T,VALID DATA,3,0.768,-5,-4,CT,NORTHEAST,DSL
11988,AT&T,VALID DATA,3,0.768,-5,-4,GA,SOUTH,DSL
9599,AT&T,VALID DATA,3,0.512,-6,-5,TX,SOUTH,DSL
7617,AT&T,VALID DATA,3,0.512,-5,-4,SC,SOUTH,DSL
6394,AT&T,VALID DATA,3,0.512,-6,-5,IL,MIDWEST,DSL
11154,AT&T,VALID DATA,3,0.512,-6,-5,TX,SOUTH,DSL
217771,AT&T,VALID DATA,3,0.512,-6,-5,MO,MIDWEST,DSL
11252,AT&T,VALID DATA,3,0.768,-6,-5,MN,MIDWEST,DSL
215724,AT&T,VALID DATA,3,0.384,-8,-7,CA,WEST,DSL
10894,AT&T,VALID DATA,3,0.512,-8,-7,CA,WEST,DSL
7409,AT&T,VALID DATA,3,0.512,-8,-7,CA,WEST,DSL
217767,AT&T,VALID DATA,3,0.512,-6,-5,TX,SOUTH,DSL
8827,AT&T,VALID DATA,3,0.512,-6,-5,CT,NORTHEAST,DSL
7299,AT&T,VALID DATA,3,0.512,-6,-5,IL,MIDWEST,DSL
7891,AT&T,VALID DATA,3,0.512,-6,-5,IL,MIDWEST,DSL
11702,AT&T,VALID DATA,3,0.512,-6,-5,TX,SOUTH,DSL
27037,AT&T,VALID DATA,3,0.512,-8,-7,CA,WEST,DSL
6498,AT&T,VALID DATA,3,0.384,-8,-7,CA,WEST,DSL
7179,AT&T,VALID DATA,3,0.512,-7,-6,TX,SOUTH,DSL
8262,AT&T,VALID DATA,3,0.512,-6,-5,IN,MIDWEST,DSL
13414,AT&T,VALID DATA,3,0.512,-6,-5,TX,SOUTH,DSL
213628,AT&T,VALID DATA,3,0.384,-8,-7,CA,WEST,DSL
8760,AT&T,VALID DATA,3,0.512,-6,-5,TX,SOUTH,DSL
7520,AT&T,VALID DATA,3,0.512,-6,-5,CT,NORTHEAST,DSL
7873,AT&T,VALID DATA,3,0.512,-6,-5,KS,MIDWEST,DSL
27738,AT&T,VALID DATA,3,0.384,-6,-5,IL,MIDWEST,DSL
8371,AT&T,VALID DATA,3,0.512,-5,-4,CT,NORTHEAST,DSL
464,AT&T,VALID DATA,3,0.384,-5,-4,OH,MIDWEST,DSL
9146,AT&T,VALID DATA,3,1,-8,-7,CA,WEST,DSL
485,AT&T,VALID DATA,3,0.384,-6,-5,TX,SOUTH,DSL
27163,AT&T,VALID DATA,3,0.512,-8,-7,NV,WEST,DSL
9468,AT&T,VALID DATA,3,0.768,-6,-5,AR,SOUTH,DSL
11945,AT&T,VALID DATA,3,0.512,-6,-5,MO,MIDWEST,DSL
9224,AT&T,VALID DATA,3,0.512,-8,-7,CA,WEST,DSL
9309,AT&T,VALID DATA,3,0.512,-5,-4,MI,MIDWEST,DSL
8210,AT&T,VALID DATA,3,0.384,-6,-5,WI,MIDWEST,DSL
1203,AT&T,VALID DATA,3,0.768,-6,-5,IL,MIDWEST,DSL
7226,AT&T,VALID DATA,3,0.384,-6,-5,IL,MIDWEST,DSL
9759,AT&T,VALID DATA,3,0.384,-6,-5,TX,SOUTH,DSL
405,AT&T,VALID DATA,3,0.512,-6,-5,IL,MIDWEST,DSL
7209,AT&T,VALID DATA,3,0.512,-8,-7,CA,WEST,DSL
5278,AT&T,VALID DATA,3,0.512,-6,-5,IL,MIDWEST,DSL
28803,AT&T,VALID DATA,3,0.384,-6,-5,TX,SOUTH,DSL
9659,AT&T,VALID DATA,3,0.512,-6,-5,WI,MIDWEST,DSL
27739,AT&T,VALID DATA,3,0.384,-6,-5,IL,MIDWEST,DSL
507,AT&T,VALID DATA,3,0.768,-6,-5,IL,MIDWEST,DSL
216054,AT&T,VALID DATA,3,0.384,-6,-5,KS,MIDWEST,DSL
757,AT&T,VALID DATA,3,0.512,-6,-5,IL,MIDWEST,DSL
6441,AT&T,VALID DATA,3,0.512,-6,-5,TX,SOUTH,DSL
7846,AT&T,VALID DATA,3,0.384,-5,-4,NC,SOUTH,DSL
28800,AT&T,VALID DATA,3,0.384,-6,-5,TX,SOUTH,DSL
215676,AT&T,VALID DATA,3,0.384,-6,-5,LA,SOUTH,DSL
27786,AT&T,VALID DATA,3,0.512,-5,-4,OH,MIDWEST,DSL
7535,AT&T,VALID DATA,3,0.384,-5,-4,GA,SOUTH,DSL
26419,AT&T,VALID DATA,3,1,-5,-4,NC,SOUTH,DSL
418,AT&T,VALID DATA,3,0.384,-6,-5,OK,SOUTH,DSL
215696,AT&T,VALID DATA,3,0.384,-8,-7,CA,WEST,DSL
5571,AT&T,VALID DATA,3,0.384,-5,-4,SC,SOUTH,DSL
7944,AT&T,VALID DATA,3,0.384,-6,-5,MS,SOUTH,DSL
28761,AT&T,VALID DATA,3,0.512,-6,-5,WI,MIDWEST,DSL
1076,AT&T,VALID DATA,3,0.768,-5,-4,FL,SOUTH,DSL
13159,AT&T,VALID DATA,3,0.384,-6,-5,MS,SOUTH,DSL
769,AT&T,VALID DATA,3,0.512,-6,-5,TX,SOUTH,DSL
10037,AT&T,VALID DATA,3,0.512,-5,-4,OH,MIDWEST,DSL
12001,AT&T,VALID DATA,3,0.512,-8,-7,CA,WEST,DSL
28110,AT&T,VALID DATA,3,0.384,-6,-5,IL,MIDWEST,DSL
7609,AT&T,VALID DATA,3,0.512,-8,-7,CA,WEST,DSL
7912,AT&T,VALID DATA,3,0.384,-5,-4,SC,SOUTH,DSL
8086,AT&T,VALID DATA,3,0.384,-5,-4,NC,SOUTH,DSL
12284,AT&T,VALID DATA,3,0.384,-5,-4,GA,SOUTH,DSL
5581,AT&T,VALID DATA,3,0.384,-6,-5,AL,SOUTH,DSL
7228,AT&T,VALID DATA,3,0.768,-5,-4,SC,SOUTH,DSL
7587,AT&T,VALID DATA,3,1,-5,-4,MI,MIDWEST,DSL
1047,AT&T,VALID DATA,3,1,-5,-4,FL,SOUTH,DSL
528,AT&T,VALID DATA,3,1,-8,-7,CA,WEST,DSL
563,AT&T,VALID DATA,3,1,-8,-7,CA,WEST,DSL
11366,AT&T,VALID DATA,3,1,-6,-5,IL,MIDWEST,DSL
9849,AT&T,VALID DATA,3,1,-6,-5,WI,MIDWEST,DSL
213502,AT&T,VALID DATA,6,0.512,-6,-5,IL,MIDWEST,DSL
26943,AT&T,VALID DATA,6,0.512,-6,-5,MS,SOUTH,DSL
9193,AT&T,VALID DATA,6,0.768,-6,-5,TX,SOUTH,DSL
5744,AT&T,VALID DATA,6,0.512,-8,-7,CA,WEST,DSL
27583,AT&T,VALID DATA,6,0.768,-6,-5,IL,MIDWEST,DSL
5523,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
13393,AT&T,VALID DATA,6,0.512,-6,-5,TX,SOUTH,DSL
790,AT&T,VALID DATA,6,0.512,-8,-7,CA,WEST,DSL
215766,AT&T,VALID DATA,6,0.768,-6,-5,TX,SOUTH,DSL
27758,AT&T,VALID DATA,6,0.512,-5,-4,KY,SOUTH,DSL
26659,AT&T,VALID DATA,6,0.768,-5,-4,CT,NORTHEAST,DSL
9541,AT&T,VALID DATA,6,1,-8,-7,CA,WEST,DSL
27148,AT&T,VALID DATA,6,0.512,-8,-7,CA,WEST,DSL
613,AT&T,VALID DATA,6,0.512,-6,-5,TX,SOUTH,DSL
448,AT&T,VALID DATA,6,0.768,-6,-5,IN,MIDWEST,DSL
10556,AT&T,VALID DATA,6,0.768,-6,-5,MO,MIDWEST,DSL
12231,AT&T,VALID DATA,6,0.512,-5,-4,NC,SOUTH,DSL
7974,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
12500,AT&T,VALID DATA,6,0.512,-8,-7,CA,WEST,DSL
12184,AT&T,VALID DATA,6,0.768,-6,-5,TN,SOUTH,DSL
5688,AT&T,VALID DATA,6,0.512,-6,-5,FL,SOUTH,DSL
10780,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
13109,AT&T,VALID DATA,6,0.512,-6,-5,TX,SOUTH,DSL
474,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
217150,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
6563,AT&T,VALID DATA,6,0.768,-6,-5,KS,MIDWEST,DSL
7957,AT&T,VALID DATA,6,0.768,-5,-4,OH,MIDWEST,DSL
210402,AT&T,VALID DATA,6,0.512,-8,-7,CA,WEST,DSL
214068,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
8411,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
8992,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
6435,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
5326,AT&T,VALID DATA,6,0.768,-6,-5,IL,MIDWEST,DSL
7386,AT&T,VALID DATA,6,0.768,-6,-5,IL,MIDWEST,DSL
7178,AT&T,VALID DATA,6,0.768,-8,-7,NV,WEST,DSL
6613,AT&T,VALID DATA,6,0.512,-8,-7,CA,WEST,DSL
5252,AT&T,VALID DATA,6,0.512,-6,-5,IL,MIDWEST,DSL
8885,AT&T,VALID DATA,6,0.512,-6,-5,IL,MIDWEST,DSL
13407,AT&T,VALID DATA,6,0.512,-8,-7,CA,WEST,DSL
11378,AT&T,VALID DATA,6,0.512,-6,-5,OK,SOUTH,DSL
6821,AT&T,VALID DATA,6,0.512,-8,-7,CA,WEST,DSL
6328,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
9370,AT&T,VALID DATA,6,0.768,-6,-5,CT,NORTHEAST,DSL
10665,AT&T,VALID DATA,6,0.512,-6,-5,OK,SOUTH,DSL
8415,AT&T,VALID DATA,6,0.512,-5,-4,MI,MIDWEST,DSL
5488,AT&T,VALID DATA,6,0.768,-6,-5,TX,SOUTH,DSL
217212,AT&T,VALID DATA,6,0.768,-5,-5,MI,MIDWEST,DSL
193026,AT&T,VALID DATA,6,0.768,-5,-4,MI,MIDWEST,DSL
7070,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
1272,AT&T,VALID DATA,6,0.768,-6,-5,IL,MIDWEST,DSL
10783,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
11107,AT&T,VALID DATA,6,0.512,-5,-4,OH,MIDWEST,DSL
8375,AT&T,VALID DATA,6,0.768,-6,-5,IN,MIDWEST,DSL
540,AT&T,VALID DATA,6,0.768,-6,-5,KS,MIDWEST,DSL
11231,AT&T,VALID DATA,6,0.512,-5,-4,MI,MIDWEST,DSL
