Unit ID,ISP,Download,Upload,Technology,STATE,REGION,VALIDATED BY,DAYS,timezone_offset,timezone_offset_dst
6,Comcast,15,2,CABLE,,,SK,21,-5,-4
11,Verizon,35,35,FIBER,MA,NORTHEAST,ISP,30,-5,-4
15,Verizon DSL,3,0.768,DSL,,,ISP,30,-5,-4
83,Miscellaneous,0,0,N/A,,,ISP,30,-6,-5
361,Cablevision,30,5,CABLE,NY,NORTHEAST,SK,27,-5,-4
364,Cablevision,30,5,CABLE,,,SK,30,-5,-4
365,Cablevision,15,2,CABLE,,,SK,30,-5,-4
372,Windstream,3,0.768,DSL,AR,SOUTH,ISP,30,-6,-5
373,TimeWarner,10,1,CABLE,TX,SOUTH,ISP,30,-6,-5
374,Charter,15,3,CABLE,WI,MIDWEST,ISP,13,-6,-5
380,Charter,25,3,CABLE,MO,MIDWEST,ISP,30,-6,-5
381,CenturyLink,1.5,0.512,DSL,MO,MIDWEST,SK,30,-6,-5
382,AT&T,0.768,0.128,DSL,SC,SOUTH,ISP,30,-5,-4
384,Verizon DSL,3,0.768,DSL,MD,SOUTH,ISP,30,-5,-4
385,Miscellaneous,0,0,N/A,AZ,WEST,ISP,30,-7,-7
386,Comcast,22,5,CABLE,ma,NORTHEAST,ISP,30,-5,-4
389,TimeWarner,10,1,CABLE,WI,MIDWEST,SK / ISP,3,-6,-5
390,Verizon,15,5,FIBER,KY,SOUTH,ISP,30,-5,-4
395,TimeWarner,50,5,CABLE,NY,NORTHEAST,ISP,30,-5,-4
396,AT&T,12,1.5,DSL,CA,WEST,ISP,30,-8,-7
397,Verizon,25,25,FIBER,nJ,NORTHEAST,ISP,30,-5,-4
398,Comcast,15,2,CABLE,MI,MIDWEST,ISP,30,-5,-4
401,Qwest,7,0.896,DSL,UT,WEST,ISP,26,-7,-6
402,AT&T,1.5,1,DSL,wi,MIDWEST,ISP,30,-6,-5
404,Miscellaneous,0,0,N/A,CA,WEST,ISP,26,-8,-7
405,AT&T,3,0.512,DSL,IL,MIDWEST,ISP,30,-6,-5
408,Windstream,3,0.768,DSL,NC,SOUTH,ISP,30,-5,-4
409,CenturyLink,1.5,0.256,DSL,mo,MIDWEST,SK,30,-6,-5
412,Verizon,25,25,FIBER,TX,SOUTH,ISP,29,-6,-5
414,Comcast,15,2,CABLE,WA,WEST,ISP,30,-8,-7
415,AT&T,6,0.512,DSL,GA,SOUTH,ISP,30,-5,-4
416,Qwest,12,0.896,DSL,nm,WEST,ISP,30,-7,-6
417,CenturyLink,3,0.64,DSL,FL,SOUTH,SK,30,-5,-4
418,AT&T,0.768,0.384,DSL,OK,SOUTH,ISP,20,-6,-5
419,Cablevision,15,2,CABLE,NY,NORTHEAST,SK,30,-5,-4
420,TimeWarner,50,5,CABLE,CA,WEST,SK / ISP,14,-8,-7
422,Comcast,15,2,CABLE,WA,WEST,ISP,30,-8,-7
423,Cox,50,5,CABLE,CA,WEST,ISP,8,-8,-7
426,TimeWarner,7,0.384,CABLE,WA,WEST,ISP,29,-8,-7
429,Verizon,25,25,FIBER,CA,WEST,SK / ISP,30,-8,-7
431,Verizon,15,5,FIBER,CA,WEST,ISP,30,-8,-7
434,Verizon,20,5,FIBER,MD,SOUTH,ISP,30,-5,-4
435,Verizon,25,25,FIBER,MD,SOUTH,ISP,30,-5,-4
437,AT&T,6,0.768,DSL,CA,WEST,ISP,26,-8,-7
438,TimeWarner,20,2,CABLE,FL,SOUTH,SK / ISP,30,-5,-4
439,Cox,18,2,CABLE,CA,WEST,SK,30,-8,-7
440,Qwest,12,0.896,DSL,CO,WEST,ISP,30,-7,-6
444,Cox,15,2,CABLE,AZ,WEST,ISP,30,-7,-7
446,TimeWarner,30,5,CABLE,NY,NORTHEAST,SK / ISP,21,-5,-4
447,Verizon,35,35,FIBER,PA,NORTHEAST,ISP,30,-5,-4
448,AT&T,6,0.768,DSL,IN,MIDWEST,ISP,30,-5,-5
449,Verizon DSL,3,0.768,DSL,CA,WEST,ISP,26,-8,-7
450,AT&T,3,0.512,DSL,OH,MIDWEST,ISP,22,-5,-4
451,Comcast,15,2,CABLE,TN,SOUTH,ISP,23,-5,-4
452,Frontier,5,0.768,DSL,CA,WEST,SK / ISP,26,-8,-7
454,Insight,10,1,CABLE,KY,SOUTH,ISP,30,-5,-4
456,Windstream,3,0.768,DSL,KY,SOUTH,ISP,30,-5,-4
457,TimeWarner,20,2,CABLE,TX,SOUTH,SK / ISP,30,-6,-5
458,Cablevision,50,8,CABLE,NJ,NORTHEAST,SK,30,-5,-4
460,Comcast,15,2,CABLE,NJ,NORTHEAST,ISP,9,-5,-4
462,Cablevision,15,2,CABLE,NJ,NORTHEAST,SK,30,-5,-4
464,AT&T,1.5,0.384,DSL,OH,MIDWEST,ISP,24,-5,-4
465,TimeWarner,15,2,CABLE,TX,SOUTH,ISP,30,-6,-5
467,TimeWarner,10,1,CABLE,NY,NORTHEAST,SK / ISP,30,-5,-4
468,Charter,30,4,CABLE,MO,MIDWEST,ISP,9,-6,-5
469,AT&T,18,1.5,DSL,NC,SOUTH,ISP,30,-5,-4
471,Comcast,15,2,CABLE,AZ,WEST,ISP,30,-7,-7
473,Charter,15,3,CABLE,MI,MIDWEST,ISP,18,-5,-4
474,AT&T,6,0.768,DSL,CA,WEST,ISP,25,-8,-7
475,Comcast,1.5,0.384,CABLE,IL,MIDWEST,ISP,19,-6,-5
476,CenturyLink,1.5,0.256,DSL,AR,SOUTH,SK,29,-6,-5
477,Verizon,35,35,FIBER,NJ,NORTHEAST,ISP,30,-5,-4
480,TimeWarner,30,5,CABLE,WI,MIDWEST,SK / ISP,14,-6,-5
482,AT&T,3,0.512,DSL,CA,WEST,ISP,26,-8,-7
483,CenturyLink,3,0.64,DSL,WI,MIDWEST,SK,28,-6,-5
484,Charter,15,3,CABLE,WI,MIDWEST,ISP,30,-6,-5
485,AT&T,3,0.384,DSL,TX,SOUTH,ISP,30,-6,-5
486,Comcast,15,2,CABLE,ME,NORTHEAST,ISP,30,-5,-5
487,Comcast,15,2,CABLE,MA,NORTHEAST,ISP,30,-5,-4
488,Verizon DSL,3,0.768,DSL,cA,WEST,ISP,30,-8,-7
490,AT&T,6,0.512,DSL,ky,SOUTH,ISP,12,-6,-5
494,Cox,15,2,CABLE,VA,SOUTH,ISP,30,-5,-4
499,Frontier,25,25,FIBER,OR,WEST,ISP,26,-8,-7
500,Cablevision,15,2,CABLE,NJ,NORTHEAST,SK,30,-5,-4
502,Comcast,25,4,CABLE,CA,WEST,ISP,26,-8,-7
503,Qwest,12,0.896,DSL,CO,WEST,SK / ISP,30,-7,-6
504,Cablevision,15,2,CABLE,NY,NORTHEAST,SK,30,-5,-4
506,AT&T,6,0.768,DSL,CA,WEST,ISP,12,-8,-7
507,AT&T,3,0.768,DSL,IL,MIDWEST,ISP,30,-6,-5
509,AT&T,1.5,0.384,DSL,CA,WEST,ISP,26,-8,-7
511,AT&T,1.5,0.384,DSL,MI,MIDWEST,ISP,29,-5,-4
514,Comcast,8,2,CABLE,CO,WEST,SK / ISP,30,-7,-6
515,CenturyLink,5,0.768,DSL,FL,SOUTH,SK,30,-5,-4
516,AT&T,24,3,DSL,CA,WEST,ISP,30,-8,-7
517,Cox,22,5,CABLE,AZ,WEST,SK,22,-7,-7
518,CenturyLink,3,0.64,DSL,NC,SOUTH,SK,30,-5,-4
519,TimeWarner,10,1,CABLE,NC,SOUTH,ISP,30,-5,-4
520,Cablevision,50,8,CABLE,NY,NORTHEAST,SK,30,-5,-4
521,Charter,100,5,CABLE,NV,WEST,SK,19,-8,-7
522,Verizon,25,25,FIBER,VA,SOUTH,ISP,30,-5,-4
524,Verizon,35,35,FIBER,CA,WEST,ISP,30,-8,-7
525,Qwest,1.5,0.896,DSL,AZ,WEST,ISP,30,-7,-7
526,Qwest,1.5,0.896,DSL,NM,WEST,ISP,17,-7,-6
527,Comcast,15,2,CABLE,MN,MIDWEST,SK,12,-6,-5
528,AT&T,3,1,DSL,ca,WEST,ISP,26,-8,-7
529,Comcast,22,5,CABLE,IN,MIDWEST,ISP,30,-6,-5
533,Verizon DSL,1,0.384,DSL,MA,NORTHEAST,ISP,30,-5,-4
534,AT&T,6,0.512,DSL,NC,SOUTH,ISP,14,-5,-4
536,Comcast,22,5,CABLE,Ga,SOUTH,ISP,30,-5,-4
537,AT&T,6,1,DSL,IL,MIDWEST,ISP,29,-6,-5
538,Verizon,25,25,FIBER,NY,NORTHEAST,ISP,30,-5,-4
540,AT&T,6,0.768,DSL,KS,MIDWEST,ISP,30,-6,-5
541,TimeWarner,10,1,CABLE,NY,NORTHEAST,ISP,30,-5,-4
542,Charter,15,3,CABLE,MO,MIDWEST,ISP,29,-6,-5
543,Cox,25,5,CABLE,AZ,WEST,ISP,30,-7,-7
544,Verizon DSL,3,0.768,DSL,VA,SOUTH,ISP,30,-5,-4
545,Comcast,25,4,CABLE,NJ,NORTHEAST,ISP,30,-5,-4
546,Comcast,6,1,CABLE,MA,NORTHEAST,SK,30,-5,-4
547,Verizon,25,25,FIBER,md,SOUTH,ISP,17,-5,-4
