Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Upload,Whitebox Model
23244589,CenturyLink,Fiber,WA,West,-8,-7,1000,1000,skwb8
3814901,CenturyLink,Fiber,CO,West,-7,-6,1000,1000,skwb8
3893165,CenturyLink,Fiber,CO,West,-7,-6,1000,1000,skwb8
39536305,CenturyLink,Fiber,OR,West,-8,-7,1000,1000,skwb8
39485941,CenturyLink,Fiber,WA,West,-8,-7,1000,1000,skwb8
39580961,CenturyLink,Fiber,OR,West,-8,-7,1000,1000,skwb8
24839945,Frontier,Fiber,CA,West,-8,-7,1000,1000,skwb8
39486177,CenturyLink,Fiber,MN,Midwest,-6,-5,1000,1000,skwb8
38098205,Frontier,Fiber,TX,South,-6,-5,1000,1000,skwb8
39485921,CenturyLink,Fiber,CO,West,-7,-6,1000,1000,skwb8
39486105,CenturyLink,Fiber,OR,West,-8,-7,1000,1000,skwb8
39486493,CenturyLink,Fiber,WA,West,-8,-7,1000,1000,skwb8
40730477,CenturyLink,Fiber,OR,West,-8,-7,1000,1000,skwb8
4172717,Frontier,Fiber,CA,West,-8,-7,1000,1000,skwb8
40730589,CenturyLink,Fiber,UT,West,-7,-6,1000,1000,skwb8
3676289,CenturyLink,Fiber,FL,South,-5,-4,1000,1000,skwb8
39485957,CenturyLink,Fiber,MN,Midwest,-6,-5,1000,1000,skwb8
25754857,Frontier,Fiber,TX,South,-6,-5,1000,1000,skwb8
4011749,CenturyLink,Fiber,CO,West,-7,-6,1000,1000,skwb8
3782389,Frontier,Fiber,FL,South,-5,-4,1000,1000,skwb8
39486377,CenturyLink,Fiber,IA,Midwest,-6,-5,1000,1000,skwb8
39774625,CenturyLink,Fiber,WA,West,-8,-7,1000,1000,skwb8
39774665,CenturyLink,Fiber,MN,Midwest,-6,-5,1000,1000,skwb8
39486189,CenturyLink,Fiber,IA,Midwest,-6,-5,1000,1000,skwb8
40844101,CenturyLink,Fiber,SD,Midwest,-6,-5,1000,1000,skwb8
39485865,CenturyLink,Fiber,OR,West,-8,-7,1000,1000,skwb8
39486173,CenturyLink,Fiber,CO,West,-7,-6,1000,1000,skwb8
39536233,CenturyLink,Fiber,AZ,West,-7,-7,1000,1000,skwb8
39486465,CenturyLink,Fiber,CO,West,-7,-6,1000,1000,skwb8
3941949,CenturyLink,Fiber,AZ,West,-7,-7,1000,1000,skwb8
40730653,CenturyLink,Fiber,OR,West,-8,-7,1000,1000,skwb8
39486061,CenturyLink,Fiber,WA,West,-8,-7,1000,1000,skwb8
40730441,CenturyLink,Fiber,AZ,West,-7,-7,1000,1000,skwb8
39485897,CenturyLink,Fiber,CO,West,-7,-6,1000,1000,skwb8
39486237,CenturyLink,Fiber,WA,West,-8,-7,1000,1000,skwb8
41089085,CenturyLink,Fiber,FL,South,-5,-4,1000,1000,skwb8
39485869,CenturyLink,Fiber,CO,West,-7,-6,1000,1000,skwb8
39485985,CenturyLink,Fiber,MN,Midwest,-6,-5,1000,1000,skwb8
39486029,CenturyLink,Fiber,FL,South,-5,-4,1000,1000,skwb8
39486405,CenturyLink,Fiber,CO,West,-7,-6,1000,1000,skwb8
39536069,CenturyLink,Fiber,CO,West,-7,-6,1000,1000,skwb8
39486117,CenturyLink,Fiber,AZ,West,-7,-7,1000,1000,skwb8
24840045,Frontier,Fiber,CA,West,-8,-7,1000,1000,skwb8
39580953,CenturyLink,Fiber,UT,West,-7,-6,1000,1000,skwb8
38098489,Frontier,Fiber,TX,South,-6,-5,1000,1000,skwb8
40730593,CenturyLink,Fiber,NV,West,-8,-7,1000,1000,skwb8
25754977,Frontier,Fiber,CA,West,-8,-7,1000,1000,skwb8
3798805,CenturyLink,Fiber,FL,South,-5,-4,1000,1000,skwb8
38098209,Frontier,Fiber,TX,South,-6,-5,1000,1000,skwb8
25754953,Frontier,Fiber,FL,South,-5,-4,1000,1000,skwb8
39774641,CenturyLink,Fiber,NV,West,-8,-7,1000,1000,skwb8
39485997,CenturyLink,Fiber,OR,West,-8,-7,1000,1000,skwb8
38302829,Frontier,Fiber,FL,South,-5,-4,1000,1000,skwb8
40518917,CenturyLink,Fiber,NV,West,-8,-7,1000,1000,skwb8
39486357,CenturyLink,Fiber,NV,West,-8,-7,1000,1000,skwb8
