Unit ID,ISP,Technology,VALIDATED BY,Download,Upload,STATE,REGION
361,Cablevision,CABLE,ISP/SK,30,5,,
364,Cablevision,CABLE,SK,30,5,,
368,AT&T,DSL,SK,12,1.5,,
370,TimeWarner,CABLE,ISP,10,1,CA,WEST
371,Cox,CABLE,ISP,12,1,NV,WEST
372,Windstream,DSL,ISP,3,0.768,AR,SOUTH
373,TimeWarner,CABLE,ISP,7,0.512,TX,SOUTH
374,Charter,CABLE,ISP,12,1,WI,MIDWEST
375,AT&T,DSL,ISP,6,0.768,CA,WEST
376,Cablevision,CABLE,ISP,15,2,NJ,NORTHEAST
380,Charter,CABLE,ISP,25,3,MO,MIDWEST
381,CenturyLink,DSL,ISP,1.5,0.256,MO,MIDWEST
382,AT&T,DSL,ISP,3,0.384,SC,South (SE)
384,Verizon,DSL,ISP,3,0.768,MD,SOUTH
385,Frontier,DSL,ISP,3,0.384,AZ,WEST
386,Comcast,CABLE,ISP,22,5,ma,NORTHEAST
388,Comcast,CABLE,SK,,,OR,WEST
389,AT&T,DSL,ISP,3,0.512,WI,MIDWEST
390,Comcast,CABLE,ISP/SK,12,2,KY,SOUTH
392,Qwest,DSL,ISP,1.5,0.896,OR,WEST
393,TimeWarner,CABLE,ISP/SK,15,2,NY,NORTHEAST
395,TimeWarner,CABLE,ISP,10,0.512,NY,NORTHEAST
396,AT&T,DSL,ISP,12,1.5,CA,WEST
397,Verizon,FIBER,ISP,25,25,nJ,NORTHEAST
398,Comcast,CABLE,SK,12,2,MI,MIDWEST
399,AT&T,DSL,ISP,1.5,0.384,CA,WEST
403,Insight,CABLE,ISP,50,5,KY,SOUTH
404,AT&T,DSL,ISP,3,0.512,CA,WEST
405,AT&T,DSL,SK,3,0.512,IL,MIDWEST
406,Verizon,FIBER,SK,25,25,MD,SOUTH
408,Windstream,DSL,ISP,3,0.768,NC,SOUTH
409,CenturyLink,DSL,ISP,1.5,0.256,mo,MIDWEST
412,Verizon,FIBER,SK,25,25,TX,SOUTH
414,Comcast,CABLE,ISP,12,2,WA,WEST
415,AT&T,DSL,ISP,6,0.512,GA,South (SE)
416,Qwest,DSL,ISP,12,0.896,nm,WEST
417,CenturyLink,DSL,ISP,3,0.64,FL,SOUTH
418,AT&T,DSL,ISP,0.768,0.384,OK,SOUTH
419,Cablevision,CABLE,ISP,15,2,NY,NORTHEAST
420,AT&T,DSL,ISP,18,1.5,CA,WEST
421,AT&T,DSL,ISP,6,0.768,CA,WEST
422,Comcast,CABLE,ISP,12,2,WA,WEST
423,Cox,CABLE,ISP/SK,25,3,CA,WEST
426,Qwest,DSL,SK,1.5,0.896,WA,WEST
429,Verizon,FIBER,ISP/SK,25,25,CA,WEST
431,Verizon,FIBER,ISP/SK,15,5,CA,WEST
432,CenturyLink,DSL,SK,10,0.768,WI,MIDWEST
433,AT&T,DSL,ISP,3,0.512,CA,WEST
434,Verizon,FIBER,ISP,20,5,MD,SOUTH
435,Verizon,FIBER,ISP,25,25,MD,SOUTH
436,Charter,CABLE,SK,18,2,Mi,MIDWEST
437,AT&T,DSL,SK,6,0.768,CA,WEST
438,Brighthouse,CABLE,SK,20,2,FL,SOUTH
439,Cox,CABLE,ISP,12,1,CA,WEST
440,Qwest,DSL,ISP,12,0.896,CO,WEST
444,Cox,CABLE,ISP,12,2,AZ,WEST
446,TimeWarner,CABLE,ISP,15,0.768,NY,NORTHEAST
447,Verizon,FIBER,ISP,35,35,PA,NORTHEAST
448,AT&T,DSL,ISP/SK,3,0.768,IN,MIDWEST
449,Verizon,DSL,ISP,3,0.768,CA,WEST
450,AT&T,DSL,ISP,3,0.512,OH,MIDWEST
451,Comcast,CABLE,ISP,12,2,TN,SOUTH
452,Frontier,DSL,ISP,3,0.384,CA,WEST
453,Cox,CABLE,ISP,25,3,VA,SOUTH
454,Insight,CABLE,ISP,10,1,KY,SOUTH
456,Windstream,DSL,ISP,3,0.768,KY,SOUTH
457,TimeWarner,CABLE,ISP,7,0.512,TX,SOUTH
458,Cablevision,CABLE,ISP,30,5,NJ,NORTHEAST
460,Comcast,CABLE,ISP/SK,12,2,NJ,NORTHEAST
461,Comcast,CABLE,ISP,20,4,wa,WEST
462,Cablevision,CABLE,ISP,15,2,NJ,NORTHEAST
464,AT&T,DSL,ISP,1.5,0.384,OH,MIDWEST
465,TimeWarner,CABLE,ISP,15,2,TX,SOUTH
467,TimeWarner,CABLE,ISP,10,0.512,NY,NORTHEAST
