"Top 3 values of operator_technology","dtime per 30 days","Median Latency (ms)"
Cable,"2010-12-27",null
Cable,"2011-01-26","130.779"
Cable,"2011-02-25","105.246"
Cable,"2011-03-27","99.597"
Cable,"2011-04-26","100.26"
Cable,"2011-05-26","111.588"
Cable,"2011-06-25","107.69"
Cable,"2011-07-25","101.428"
Cable,"2011-08-24","105.537"
Cable,"2011-09-23","140.913"
Cable,"2011-10-23","144.319"
Cable,"2011-11-22","156.67"
Cable,"2011-12-22","168.551"
Cable,"2012-01-21","190.971"
Cable,"2012-02-20","182.131"
Cable,"2012-03-21","156.678"
Cable,"2012-04-20","141.711"
Cable,"2012-05-20","144.607"
Cable,"2012-06-19","147.266"
Cable,"2012-07-19","136.94"
Cable,"2012-08-18","143.22"
Cable,"2012-09-17","147.047"
Cable,"2012-10-17","137.725"
Cable,"2012-11-16","148.847"
Cable,"2012-12-16","158.084"
Cable,"2013-01-15","150.582"
Cable,"2013-02-14","153.178"
Cable,"2013-03-16","140.929"
Cable,"2013-04-15","126.506"
Cable,"2013-05-15","120.265"
Cable,"2013-06-14","117.921"
Cable,"2013-07-14","112.465"
Cable,"2013-08-13","114.959"
Cable,"2013-09-12","112.773"
Cable,"2013-10-12","106.894"
Cable,"2013-11-11","102.252"
Cable,"2013-12-11","111.225"
Cable,"2014-01-10","109.705"
Cable,"2014-02-09","115.897"
Cable,"2014-03-11","113.742"
Cable,"2014-04-10","116.058"
Cable,"2014-05-10","119.959"
Cable,"2014-06-09","127.57"
Cable,"2014-07-09","132.973"
Cable,"2014-08-08","126.851"
Cable,"2014-09-07","133.888"
Cable,"2014-10-07","137.551"
Cable,"2014-11-06","148.207"
Cable,"2014-12-06","150.477"
Cable,"2015-01-05","144.606"
Cable,"2015-02-04","144.227"
Cable,"2015-03-06","135.876"
Cable,"2015-04-05","132.275"
Cable,"2015-05-05","133.556"
Cable,"2015-06-04","131.906"
Cable,"2015-07-04","128.067"
Cable,"2015-08-03","128.559"
Cable,"2015-09-02","122.7"
Cable,"2015-10-02","117.608"
Cable,"2015-11-01","121.412"
Cable,"2015-12-01","123.182"
Cable,"2015-12-31","122.757"
Cable,"2016-01-30","117.923"
Cable,"2016-02-29","115.679"
Cable,"2016-03-30","117.084"
Cable,"2016-04-29","118.407"
Cable,"2016-05-29","115.202"
Cable,"2016-06-28","115.807"
Cable,"2016-07-28","135.246"
Cable,"2016-08-27","201.195"
Cable,"2016-09-26","179.461"
Cable,"2016-10-26","176.266"
Cable,"2016-11-25","171.074"
Cable,"2016-12-25","161.972"
Cable,"2017-01-24","159.824"
Cable,"2017-02-23","164.455"
