"Top 3 values of operator_technology","dtime per 30 days","Median Latency (ms)"
Cable,"2010-12-27",null
Cable,"2011-01-26","903.042"
Cable,"2011-02-25","825.902"
Cable,"2011-03-27","799.604"
Cable,"2011-04-26","802.219"
Cable,"2011-05-26","808.593"
Cable,"2011-06-25","794.392"
Cable,"2011-07-25","796.814"
Cable,"2011-08-24","777.431"
Cable,"2011-09-23","799.032"
Cable,"2011-10-23","786.901"
Cable,"2011-11-22","770.73"
Cable,"2011-12-22","768.442"
Cable,"2012-01-21","774.301"
Cable,"2012-02-20","776.673"
Cable,"2012-03-21","767.557"
Cable,"2012-04-20","765.176"
Cable,"2012-05-20","750.498"
Cable,"2012-06-19","762.945"
Cable,"2012-07-19","751.522"
Cable,"2012-08-18","735.99"
Cable,"2012-09-17","733.526"
Cable,"2012-10-17","729.674"
Cable,"2012-11-16","723.334"
Cable,"2012-12-16","707.256"
Cable,"2013-01-15","655.093"
Cable,"2013-02-14","647.213"
Cable,"2013-03-16","632.429"
Cable,"2013-04-15","586.845"
Cable,"2013-05-15","564.863"
Cable,"2013-06-14","565.037"
Cable,"2013-07-14","541.479"
Cable,"2013-08-13","517.235"
Cable,"2013-09-12","498.12"
Cable,"2013-10-12","485.159"
Cable,"2013-11-11","482.292"
Cable,"2013-12-11","472.957"
Cable,"2014-01-10","474.692"
Cable,"2014-02-09","477.344"
Cable,"2014-03-11","479.998"
Cable,"2014-04-10","472.556"
Cable,"2014-05-10","462.426"
Cable,"2014-06-09","470.67"
Cable,"2014-07-09","459.254"
Cable,"2014-08-08","437.24"
Cable,"2014-09-07","425.759"
Cable,"2014-10-07","416.211"
Cable,"2014-11-06","411.167"
Cable,"2014-12-06","404.553"
Cable,"2015-01-05","402.257"
Cable,"2015-02-04","404.239"
Cable,"2015-03-06","405.93"
Cable,"2015-04-05","398.343"
Cable,"2015-05-05","389.637"
Cable,"2015-06-04","383.505"
Cable,"2015-07-04","379.783"
Cable,"2015-08-03","370.608"
Cable,"2015-09-02","340.647"
Cable,"2015-10-02","321.807"
Cable,"2015-11-01","317.963"
Cable,"2015-12-01","318.931"
Cable,"2015-12-31","305.737"
Cable,"2016-01-30","317.267"
Cable,"2016-02-29","319.188"
Cable,"2016-03-30","331.435"
Cable,"2016-04-29","328.056"
Cable,"2016-05-29","304.345"
Cable,"2016-06-28",null
Cable,"2016-07-28","310.961"
Cable,"2016-08-27","315.023"
Cable,"2016-09-26","297.75"
Cable,"2016-10-26","294.146"
Cable,"2016-11-25","280.515"
Cable,"2016-12-25","265.872"
Cable,"2017-01-24","271.341"
Cable,"2017-02-23","261.067"
Cable,"2017-03-25","262.888"
Cable,"2017-04-24","255.287"
Cable,"2017-05-24","247.006"
Cable,"2017-06-23","236.393"
Cable,"2017-07-23","234.828"
Cable,"2017-08-22","227.132"
Cable,"2017-09-21","210.875"
Cable,"2017-10-21","207.222"
Cable,"2017-11-20","203.92"
Cable,"2017-12-20","209.287"
Cable,"2018-01-19","209.564"
Cable,"2018-02-18","207.662"
Cable,"2018-03-20","192.376"
Cable,"2018-04-19","189.922"
Cable,"2018-05-19","175.511"
Cable,"2018-06-18","175.641"
Cable,"2018-07-18","158.255"
Cable,"2018-08-17","137.97"
Cable,"2018-09-16","129.792"
Cable,"2018-10-16","131.747"
Cable,"2018-11-15","126.138"
Cable,"2018-12-15","130.898"
Cable,"2019-01-14","130.805"
Cable,"2019-02-13","145.833"
Cable,"2019-03-15","145.599"
Cable,"2019-04-14","144.766"
Cable,"2019-05-14","139.915"
Cable,"2019-06-13","137.268"
Cable,"2019-07-13","135.482"
Cable,"2019-08-12","134.723"
Cable,"2019-09-11","134.971"
Cable,"2019-10-11","131.758"
Cable,"2019-11-10","134.425"
Cable,"2019-12-10","140.322"
Cable,"2020-01-09","138.433"
Cable,"2020-02-08","145.191"
Cable,"2020-03-09","157.884"
Cable,"2020-04-08","159.083"
Cable,"2020-05-08","156.852"
Cable,"2020-06-07","157.535"
Cable,"2020-07-07","156.45"
Cable,"2020-08-06","152.594"
Cable,"2020-09-05",null
Cable,"2020-10-05","150.09"
Cable,"2020-11-04","156.855"
Cable,"2020-12-04","155.916"
Cable,"2021-01-03","154.249"
Cable,"2021-02-02","158.379"
Cable,"2021-03-04","155.649"
Cable,"2021-04-03","155.031"
Cable,"2021-05-03","155.84"
Cable,"2021-06-02","156.155"
Cable,"2021-07-02","156.802"
