"dtime per 30 days","Upstream LUL"
"2010-12-27",null
"2011-01-26","900.103"
"2011-02-25","865.902"
"2011-03-27","847.313"
"2011-04-26","847.045"
"2011-05-26","865.082"
"2011-06-25","859.568"
"2011-07-25","847.365"
"2011-08-24","817.301"
"2011-09-23","822.868"
"2011-10-23","827.319"
"2011-11-22","804.24"
"2011-12-22","808.857"
"2012-01-21","813.652"
"2012-02-20","815.122"
"2012-03-21","789.695"
"2012-04-20","787.269"
"2012-05-20","755.952"
"2012-06-19","771.305"
"2012-07-19","765.089"
"2012-08-18","760.776"
"2012-09-17","744.01"
"2012-10-17","739.471"
"2012-11-16","731.997"
"2012-12-16","723.006"
"2013-01-15","682.179"
"2013-02-14","658.426"
"2013-03-16","643.227"
"2013-04-15","613.264"
"2013-05-15","593.044"
"2013-06-14","592.831"
"2013-07-14","571.876"
"2013-08-13","547.46"
"2013-09-12","537.047"
"2013-10-12","525.196"
"2013-11-11","512.712"
"2013-12-11","513.437"
"2014-01-10","507.241"
"2014-02-09","507.574"
"2014-03-11","500.998"
"2014-04-10","497.696"
"2014-05-10","495.412"
"2014-06-09","496.251"
"2014-07-09","491.026"
"2014-08-08","466.784"
"2014-09-07","451.937"
"2014-10-07","434.181"
"2014-11-06","432.419"
"2014-12-06","421.407"
"2015-01-05","400.493"
"2015-02-04","401.578"
"2015-03-06","399.816"
"2015-04-05","394.882"
"2015-05-05","388.759"
"2015-06-04","375.677"
"2015-07-04","371.981"
"2015-08-03","363.443"
"2015-09-02","339.88"
"2015-10-02","324.378"
"2015-11-01","337.336"
"2015-12-01","324.362"
"2015-12-31","361.746"
"2016-01-30","355.694"
"2016-02-29","353.695"
"2016-03-30","348.527"
"2016-04-29","353.138"
"2016-05-29","350.64"
"2016-06-28",null
"2016-07-28","329.69"
"2016-08-27","303.586"
"2016-09-26","290.323"
"2016-10-26","286.477"
"2016-11-25","268.838"
"2016-12-25","250.049"
"2017-01-24","248.552"
"2017-02-23","243.441"
"2017-03-25","240.965"
"2017-04-24","229.107"
"2017-05-24","229.098"
"2017-06-23","222.058"
"2017-07-23","215.704"
"2017-08-22","205.38"
"2017-09-21","201.398"
"2017-10-21","183.704"
"2017-11-20","187.232"
"2017-12-20","188.825"
"2018-01-19","188.598"
"2018-02-18","184.019"
"2018-03-20","177.455"
"2018-04-19","178.247"
"2018-05-19","166.902"
"2018-06-18","164.866"
"2018-07-18","162.575"
"2018-08-17","143.265"
"2018-09-16","137.694"
"2018-10-16","128.318"
"2018-11-15","133.518"
"2018-12-15","133.26"
"2019-01-14","132.067"
"2019-02-13","142.692"
"2019-03-15","140.683"
"2019-04-14","139.976"
"2019-05-14","135.143"
"2019-06-13","123.802"
"2019-07-13","117.855"
"2019-08-12","119.262"
"2019-09-11","114.988"
"2019-10-11","117.509"
"2019-11-10","116.946"
"2019-12-10","123.53"
"2020-01-09","132.507"
"2020-02-08","135.321"
"2020-03-09","139.105"
"2020-04-08","144.765"
"2020-05-08","141.485"
"2020-06-07","144.582"
"2020-07-07","148.753"
"2020-08-06","142.56"
"2020-09-05",null
"2020-10-05","149.014"
"2020-11-04","166.246"
"2020-12-04","169.061"
"2021-01-03","161.784"
"2021-02-02","157.64"
"2021-03-04","164.604"
"2021-04-03","160.831"
"2021-05-03","134.016"
"2021-06-02","134.715"
"2021-07-02","129.087"
"2021-08-01","126.343"
"2021-08-31","127.328"
"2021-09-30","128.258"
"2021-10-30","128.783"
"2021-11-29","125.959"
"2021-12-29","125.865"
"2022-01-28","130.002"
"2022-02-27","128.223"
"2022-03-29","129.373"
"2022-04-28","125.197"
"2022-05-28","129.179"
"2022-06-27","126.929"
"2022-07-27","124.14"
"2022-08-26","127.38"
"2022-09-25",null
"2022-10-25","132.581"
"2022-11-24","130.128"
"2022-12-24","130.376"
"2023-01-23","126.991"
"2023-02-22","121.228"
"2023-03-24","113.326"
"2023-04-23","111.965"
"2023-05-23","107.741"
"2023-06-22","105.857"
"2023-07-22","103.089"
